cAnnee,cCodeNiv,cCodeStru,cPeriode,cTypeRapport,cMEDIC_FAN_VFMP,cMEDIC_FAN_VECM,cMEDIC_FAN_DETTES,cMEDIC_FAN_VSCM,cMEDIC_FAN_CREREC,cMEDIC_FAN_VTFMC,cMEDIC_FAN_VPFMC,cMEDIC_FAN_ECART,cPHAGCO_FAN_SFMP,cPHAGCO_FAN_RCM,cPHAGCO_FAN_DETTE,cPHAGCO_FAN_DEP,cPHAGCO_FAN_AUTDCM,cPHAGCO_FAN_CREREC,cPHAGCO_FAN_RTFMC,cPHAGCO_FAN_SOLCA,cPHAGCO_FAN_SOLBA,cPHAGCO_FAN_ECART,cDEN_FAN_SFMP,cDEN_FAN_RCM,cDEN_FAN_DETTE,cDEN_FAN_DEP,cDEN_FAN_AUTDCM,cDEN_FAN_CREREC,cDEN_FAN_RTFMC,cDEN_FAN_SOLCA,cDEN_FAN_SOLBA,cDEN_FAN_ECART,cPHAGCO_FEQ_SFMP,cPHAGCO_FEQ_RCM,cPHAGCO_FEQ_SUBV,cPHAGCO_FEQ_DCM,cPHAGCO_FEQ_RTFMC,cPHAGCO_FEQ_SOLBA,cPHAGCO_FEQ_ECART,cDEN_FEQ_SFMP,cDEN_FEQ_RCM,cDEN_FEQ_SUBV,cDEN_FEQ_DCM,cDEN_FEQ_RTFMC,cDEN_FEQ_SOLBA,cDEN_FEQ_ECART
2015,110101,110141002,04,21,5053970,749868,,938999,,4864839,4864839,,4206952,939000,,697618,195980,,4252354,,,,,,,,,,,,,,37787,24500,,,62287,,,,,,,,,
2015,110101,110141002,04,21,5053970,749868,,938999,,4864839,4864839,,4206952,939000,,697618,195980,,4252354,,,,,,,,,,,,,,37787,24500,,,62287,,,,,,,,,
2015,110101,110141002,04,21,5053970,749868,,938999,,4864839,4864839,,4206952,939000,,697618,195980,,4252354,,,,,,,,,,,,,,37787,24500,,,62287,,,,,,,,,
2015,110101,110141002,04,21,5053970,749868,,938999,,4864839,4864839,,4206952,939000,,697618,195980,,4252354,,,,,,,,,,,,,,37787,24500,,,62287,,,,,,,,,
2015,110101,110141002,04,21,5053970,749868,,938999,,4864839,4864839,,4206952,939000,,697618,195980,,4252354,,,,,,,,,,,,,,37787,24500,,,62287,,,,,,,,,
2015,110101,110141002,04,21,5053970,749868,,938999,,4864839,4864839,,4206952,939000,,697618,195980,,4252354,,,,,,,,,,,,,,37787,24500,,,62287,,,,,,,,,
2015,110101,110141002,04,21,5053970,749868,,938999,,4864839,4864839,,4206952,939000,,697618,195980,,4252354,,,,,,,,,,,,,,37787,24500,,,62287,,,,,,,,,
2015,110101,110141002,05,21,5053970,749868,,938999,,4864839,4864839,,4206953,939000,,69629,195980,,4880344,,,,,,,,,,,,,,37787,24560,,,62347,,,,,,,,,
2015,110101,110141002,07,21,,,,,,,,,2899545,732240,,1067325,151880,,2412580,,,,,,,,,,,,,,3833676,18990,,,3852666,,,,,,,,,
2015,110101,110141002,08,21,6147692,1356300,,830655,,6673337,6673337,,3474155,830655,,,172260,,4132550,,,,,,,,,,,,,,3852666,21530,,,3874196,,,,,,,,,
2015,110101,110141002,09,21,,,,,,,,,3059470,948722,,2039420,196500,,1772272,,,,,,,,,,,,,,3874196,24600,,,3898796,,,,,,,,,
2015,110101,110141002,10,21,8420515,,,839060,521265,7060190,7060190,,176620,839060,,,174030,,841650,,,,,,,,,,,,,,3898796,21750,,,3920546,,,,,,,,,
2015,110101,110141002,11,21,7060190,2880000,,874093,,9066097,9066097,,2425530,8740093,,2280170,181280,,8704173,,820370,,,,,,,,,,,,3855128,22662,,,3877790,,,,,,,,,
2015,110101,110141002,12,21,9066097,,,985991,,8080106,8080106,,820370,985991,,,204500,,1601861,,,,,,,,,,,,,,3877780,25570,,,3903350,,,,,,,,,
2015,110218,110243042,07,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110218,110243042,08,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110218,110243042,09,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110218,110243042,10,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110218,110243042,11,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
