cAnnee,cCodeNiv,cCodeStru,cPeriode,cTypeRapport,cCO_LOFEMI_NU_1014a,cCO_LOFEMI_NU_1519a,cCO_LOFEMI_NU_2024a,cCO_LOFEMI_NU_2599a,cCO_LOFEMI_UR_1014a,cCO_LOFEMI_UR_1519a,cCO_LOFEMI_UR_2024a,cCO_LOFEMI_UR_2599a,cCO_LOFEMI_PDV_1014a,cCO_LOFEMI_PDV_1519a,cCO_LOFEMI_PDV_2024a,cCO_LOFEMI_PDV_2599a,cCO_OVMIC_NU_1014a,cCO_OVMIC_NU_1519a,cCO_OVMIC_NU_2024a,cCO_OVMIC_NU_2599a,cCO_OVMIC_UR_1014a,cCO_OVMIC_UR_1519a,cCO_OVMIC_UR_2024a,cCO_OVMIC_UR_2599a,cCO_OVMIC_PDV_1014a,cCO_OVMIC_PDV_1519a,cCO_OVMIC_PDV_2024a,cCO_OVMIC_PDV_2599a,cCI_DEPO_NU_1014a,cCI_DEPO_NU_1519a,cCI_DEPO_NU_2024a,cCI_DEPO_NU_2599a,cCI_DEPO_UR_1014a,cCI_DEPO_UR_1519a,cCI_DEPO_UR_2024a,cCI_DEPO_UR_2599a,cCI_DEPO_PDV_1014a,cCI_DEPO_PDV_1519a,cCI_DEPO_PDV_2024a,cCI_DEPO_PDV_2599a,cCI_MEG_NU_1014a,cCI_MEG_NU_1519a,cCI_MEG_NU_2024a,cCI_MEG_NU_2599a,cCI_MEG_UR_1014a,cCI_MEG_UR_1519a,cCI_MEG_UR_2024a,cCI_MEG_UR_2599a,cCI_MEG_PDV_1014a,cCI_MEG_PDV_1519a,cCI_MEG_PDV_2024a,cCI_MEG_PDV_2599a,cSPV_CONC_NU_1014a,cSPV_CONC_NU_1519a,cSPV_CONC_NU_2024a,cSPV_CONC_NU_2599a,cSPV_CONC_UR_1014a,cSPV_CONC_UR_1519a,cSPV_CONC_UR_2024a,cSPV_CONC_UR_2599a,cSPV_CONC_PDV_1014a,cSPV_CONC_PDV_1519a,cSPV_CONC_PDV_2024a,cSPV_CONC_PDV_2599a,cBAR_M_NU_1014a,cBAR_M_NU_1519a,cBAR_M_NU_2024a,cBAR_M_NU_2599a,cBAR_M_UR_1014a,cBAR_M_UR_1519a,cBAR_M_UR_2024a,cBAR_M_UR_2599a,cBAR_M_PDV_1014a,cBAR_M_PDV_1519a,cBAR_M_PDV_2024a,cBAR_M_PDV_2599a,cBAR_F_NU_1014a,cBAR_F_NU_1519a,cBAR_F_NU_2024a,cBAR_F_NU_2599a,cBAR_F_UR_1014a,cBAR_F_UR_1519a,cBAR_F_UR_2024a,cBAR_F_UR_2599a,cBAR_F_PDV_1014a,cBAR_F_PDV_1519a,cBAR_F_PDV_2024a,cBAR_F_PDV_2599a,cBAR_DIU_NU_1014a,cBAR_DIU_NU_1519a,cBAR_DIU_NU_2024a,cBAR_DIU_NU_2599a,cBAR_DIU_UR_1014a,cBAR_DIU_UR_1519a,cBAR_DIU_UR_2024a,cBAR_DIU_UR_2599a,cBAR_DIU_PDV_1014a,cBAR_DIU_PDV_1519a,cBAR_DIU_PDV_2024a,cBAR_DIU_PDV_2599a,cIPLT_IPLN_NU_1014a,cIPLT_IPLN_NU_1519a,cIPLT_IPLN_NU_2024a,cIPLT_IPLN_NU_2599a,cIPLT_IPLN_UR_1014a,cIPLT_IPLN_UR_1519a,cIPLT_IPLN_UR_2024a,cIPLT_IPLN_UR_2599a,cIPLT_IPLN_PDV_1014a,cIPLT_IPLN_PDV_1519a,cIPLT_IPLN_PDV_2024a,cIPLT_IPLN_PDV_2599a,cNAT_COCY_NU_1014a,cNAT_COCY_NU_1519a,cNAT_COCY_NU_2024a,cNAT_COCY_NU_2599a,cNAT_COCY_UR_1014a,cNAT_COCY_UR_1519a,cNAT_COCY_UR_2024a,cNAT_COCY_UR_2599a,cNAT_COCY_PDV_1014a,cNAT_COCY_PDV_1519a,cNAT_COCY_PDV_2024a,cNAT_COCY_PDV_2599a,cNAT_MAMA_NU_1014a,cNAT_MAMA_NU_1519a,cNAT_MAMA_NU_2024a,cNAT_MAMA_NU_2599a,cNAT_MAMA_UR_1014a,cNAT_MAMA_UR_1519a,cNAT_MAMA_UR_2024a,cNAT_MAMA_UR_2599a,cNAT_MAMA_PDV_1014a,cNAT_MAMA_PDV_1519a,cNAT_MAMA_PDV_2024a,cNAT_MAMA_PDV_2599a,cNAT_PFN_NU_1014a,cNAT_PFN_NU_1519a,cNAT_PFN_NU_2024a,cNAT_PFN_NU_2599a,cNAT_PFN_UR_1014a,cNAT_PFN_UR_1519a,cNAT_PFN_UR_2024a,cNAT_PFN_UR_2599a,cNAT_PFN_PDV_1014a,cNAT_PFN_PDV_1519a,cNAT_PFN_PDV_2024a,cNAT_PFN_PDV_2599a,cCCV_LST_NU_1014a,cCCV_LST_NU_1519a,cCCV_LST_NU_2024a,cCCV_LST_NU_2599a,cCCV_LST_UR_1014a,cCCV_LST_UR_1519a,cCCV_LST_UR_2024a,cCCV_LST_UR_2599a,cCCV_LST_PDV_1014a,cCCV_LST_PDV_1519a,cCCV_LST_PDV_2024a,cCCV_LST_PDV_2599a,cCCV_VAS_NU_1014a,cCCV_VAS_NU_1519a,cCCV_VAS_NU_2024a,cCCV_VAS_NU_2599a,cCCV_VAS_UR_1014a,cCCV_VAS_UR_1519a,cCCV_VAS_UR_2024a,cCCV_VAS_UR_2599a,cCCV_VAS_PDV_1014a,cCCV_VAS_PDV_1519a,cCCV_VAS_PDV_2024a,cCCV_VAS_PDV_2599a,cPF_TOT_NU_1014a,cPF_TOT_NU_1519a,cPF_TOT_NU_2024a,cPF_TOT_NU_2599a,cPF_TOT_NU,cPF_TOT_UR_1014a,cPF_TOT_UR_1519a,cPF_TOT_UR_2024a,cPF_TOT_UR_2599a,cPF_TOT_UR,cPF_TOT_PDV_1014a,cPF_TOT_PDV_1519a,cPF_TOT_PDV_2024a,cPF_TOT_PDV_2599a,cPF_TOT_PDV
2015,110101,110141002,4,21,,,1,3,,3,34,180,,,,,,1,,,,3,43,148,,,1,2,,1,4,3,,17,187,736,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,1,,2,,9,78,231,,,,,,,,,,,,,,,,,,11,37,145,,106,333,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,42,153,209,0,138,675,1450,2263,,,2,5,7
2015,110101,110141002,4,21,,,1,3,,3,34,180,,,,,,1,,,,3,43,148,,,1,2,,1,4,3,,17,187,736,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,1,,2,,9,78,231,,,,,,,,,,,,,,,,,,11,37,145,,106,333,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,42,153,209,0,138,675,1450,2263,,,2,5,7
2015,110101,110141002,4,21,,,1,3,,3,34,180,,,,,,1,,,,3,43,148,,,1,2,,1,4,3,,17,187,736,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,1,,2,,9,78,231,,,,,,,,,,,,,,,,,,11,37,145,,106,333,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,42,153,209,0,138,675,1450,2263,,,2,5,7
2015,110101,110141002,4,21,,,1,3,,3,34,180,,,,,,1,,,,3,43,148,,,1,2,,1,4,3,,17,187,736,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,1,,2,,9,78,231,,,,,,,,,,,,,,,,,,11,37,145,,106,333,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,42,153,209,0,138,675,1450,2263,,,2,5,7
2015,110101,110141002,4,21,,,1,3,,3,34,180,,,,,,1,,,,3,43,148,,,1,2,,1,4,3,,17,187,736,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,1,,2,,9,78,231,,,,,,,,,,,,,,,,,,11,37,145,,106,333,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,42,153,209,0,138,675,1450,2263,,,2,5,7
2015,110101,110141002,4,21,,,1,3,,3,34,180,,,,,,1,,,,3,43,148,,,1,2,,1,4,3,,17,187,736,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,1,,2,,9,78,231,,,,,,,,,,,,,,,,,,11,37,145,,106,333,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,42,153,209,0,138,675,1450,2263,,,2,5,7
2015,110101,110141002,5,21,,,1,,,3,35,183,,,,,,1,1,,,4,43,148,,,1,2,,1,,,,18,191,739,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,1,1,2,,10,78,233,,,,,,,,,,,,,,,,,,14,24,110,,117,370,1151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,27,112,156,,152,717,2503,3372,,,2,5,7
2015,110101,110141002,6,21,,,2,,,3,36,183,,,,,,,3,,,5,44,148,,,1,2,,,,1,,19,191,739,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,51,,,,,,,2,1,,11,79,235,,,,,,,,,,,,,,,,,,16,35,123,,131,394,1261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,42,125,183,,169,744,2618,3531,,,2,5,7
2015,110101,110141002,7,21,,,1,1,,3,38,183,,,,,,,1,1,,5,47,148,,,1,2,,,2,4,,19,191,740,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,,11,81,236,,,,,,,,,,,,,,,,,,22,41,152,,147,429,1384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,47,162,232,,185,786,2691,3662,,,2,5,7
2015,110101,110141002,8,21,,,,2,,3,39,184,,,,,,,2,,,5,48,149,,,1,2,,,4,2,,19,193,744,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,52,,,,,,,2,5,,12,83,239,,,,,,,,,,,,,,,,,,21,30,119,,169,470,1536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,38,128,187,,208,833,2905,3946,,,2,6,8
2015,110101,110141002,9,21,,,1,,,3,39,186,,,,,,,,,,5,50,149,,,,2,,,1,1,,19,197,746,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,53,,,,,,1,2,2,,12,85,244,,,,,,,,,,,,,,,,,,16,26,130,,190,500,1655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,30,133,180,0,229,871,3034,4134,,,1,6,7
2015,110101,110141002,10,21,,,,1,,3,40,186,,,,,,1,1,,,5,50,149,,,1,2,,,3,5,,19,198,747,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,53,,,,,,,2,1,,13,87,246,,,,,,,,,,,,,,,,,,21,37,127,,206,526,1785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,43,135,200,,246,901,3167,4314,,,2,6,8
