cAnnee,cCodeNiv,cCodeStru,cPeriode,cTypeRapport,c0015a_NC,c0015a_CONS,c0015a_EXTRACT,c0015a_SOB,c0015a_AUTSOINS,c0015a_RADIO,c1599a_NC,c1599a_CONS,c1599a_EXTRACT,c1599a_SOB,c1599a_AUTSOINS,c1599a_RADIO
2015,110101,110141002,4,21,58,97,69,38,,,2,15,11,4,,
2015,110101,110141002,4,21,58,97,69,38,,,2,15,11,4,,
2015,110101,110141002,4,21,58,97,69,38,,,2,15,11,4,,
2015,110101,110141002,4,21,58,97,69,38,,,2,15,11,4,,
2015,110101,110141002,4,21,58,97,69,38,,,2,15,11,4,,
2015,110101,110141002,6,21,29,29,14,15,,,7,7,5,2,,
2015,110101,110141002,7,21,5,19,17,2,,,1,5,3,2,,
2015,110101,110141002,8,21,6,15,8,3,1,,1,9,2,6,4,
2015,110101,110141002,9,21,12,12,11,1,,,7,7,3,4,,
2015,110101,110141002,10,21,12,12,5,7,,,3,3,3,,,
2015,110101,110141002,11,21,39,39,26,13,,,18,18,16,2,,
2015,110101,110141002,12,21,53,65,29,36,,,9,9,4,3,2,
2015,110105,110142111,4,21,17,145,22,57,8,,72,440,67,199,71,
2015,110105,110142111,5,21,9,126,21,79,2,,73,442,53,250,52,
2015,110105,110142111,6,21,12,113,17,33,2,,65,508,61,210,62,
2015,110105,110142111,7,21,20,61,13,34,1,,75,393,49,184,95,
2015,110105,110142111,8,21,30,67,28,53,1,,86,306,65,200,51,
2015,110105,110142111,9,21,36,169,40,96,4,,62,448,98,241,57,
2015,110105,110142111,10,21,28,155,36,34,1,,54,444,82,146,57,
2015,110105,110142111,11,21,30,113,26,50,4,,116,445,79,242,64,
2015,110105,110142111,12,21,16,93,24,39,2,,64,338,57,224,42,
2015,110218,110243042,6,21,,,,,,,,,,,,
2015,110218,110243068,7,21,,,,,,,,,,,,
2015,110218,110243068,8,21,,,,,,,,,,,,
2015,110218,110243068,9,21,,,,,,,,,,,,
2015,110218,110243068,11,21,,,,,,,,,,,,
2015,110301,110343045,4,21,31,79,22,6,3,,102,110,62,110,21,
2015,110301,110343045,5,21,30,30,30,25,4,,75,153,80,145,3,
2015,110301,110343045,10,21,,,,,,,,,,,,
2015,110302,110342010,7,21,,,,,,,,,,,,
2015,110303,110342008,5,21,,,,,,,,,,,,
2015,110303,110342008,7,21,,,,,,,,,,,,
2015,110303,110342008,8,21,,,,,,,,,,,,
2015,110303,110343009,7,21,,,,,,,,,,,,
2015,110303,110343009,8,21,,,,,,,,,,,,
2015,110305,110342016,4,21,47,48,15,20,12,,72,80,40,27,5,
2015,110305,110342016,6,21,66,67,30,21,16,,86,106,39,32,14,
2015,110305,110342016,7,21,75,76,39,23,13,,102,127,56,39,7,
