cAnnee,cCodeNiv,cCodeStru,cPeriode,cTypeRapport,c0015a_NC,c0015a_CONS,c0015a_EXTRACT,c0015a_SOB,c0015a_AUTSOINS,c0015a_RADIO,c1599a_NC,c1599a_CONS,c1599a_EXTRACT,c1599a_SOB,c1599a_AUTSOINS,c1599a_RADIO
2015,110101,110141001,6,21,,,,,,,,,,,,
2015,110101,110141003,4,21,12,35,27,3,,,30,76,33,10,,
2015,110101,110141003,7,21,16,35,33,2,,,37,103,28,16,,
2015,110101,110141003,8,21,26,38,29,4,,,29,73,24,20,1,
2015,110101,110141003,9,21,20,32,25,4,,,29,79,27,11,,
2015,110101,110141003,10,21,18,29,23,3,,,17,50,7,9,,
2015,110101,110141003,11,21,14,22,18,2,,,28,79,22,9,,
2015,110101,110141003,12,21,11,23,18,4,,,20,57,21,7,,
2015,110101,110141004,4,21,,,,,,,,,,,,
2015,110101,110141004,5,21,,,,,,,,,,,,
2015,110101,110141005,4,21,24,39,14,18,7,,56,158,55,29,74,
2015,110101,110141005,5,21,18,29,6,13,18,,49,103,23,29,51,
2015,110101,110141005,6,21,20,48,31,13,4,,51,139,31,45,63,
2015,110101,110141005,7,21,12,38,21,5,12,,71,132,46,24,62,
2015,110101,110141005,8,21,13,33,16,13,4,,56,114,39,29,46,
2015,110101,110141005,9,21,26,50,25,12,13,,51,111,42,18,51,
2015,110101,110141005,10,21,16,26,16,6,,,49,139,45,20,74,
2015,110101,110141005,11,21,23,42,22,7,13,,49,194,38,36,80,
2015,110101,110141005,12,21,23,35,22,10,3,,31,78,18,25,35,
2015,110101,110142024,6,21,6,25,6,87,4,,56,256,50,571,37,
2015,110101,110142024,7,21,8,35,13,70,1,,45,229,32,468,23,
2015,110101,110142024,8,21,11,15,20,23,1,,38,147,19,305,22,
2015,110101,110142024,9,21,16,46,5,82,2,,51,244,56,569,39,
2015,110101,110142024,10,21,11,31,43,46,3,,60,251,27,544,38,
2015,110101,110142024,11,21,7,21,6,57,,,69,294,30,585,48,
2015,110101,110142024,12,21,5,15,1,37,,,30,186,29,387,24,
2015,110101,110142039,6,21,111,111,38,73,3,,223,223,78,145,4,
2015,110101,110142039,7,21,131,131,33,98,1,,264,264,67,197,2,
2015,110101,110142039,8,21,123,123,47,76,2,,246,246,96,150,3,
2015,110101,110142039,9,21,136,136,46,90,3,,272,272,94,178,5,
2015,110101,110142039,10,21,124,124,42,82,2,,250,250,84,166,3,
2015,110101,110142039,11,21,122,122,47,75,2,,246,246,95,151,3,
2015,110101,110142039,12,21,109,109,47,62,2,,220,220,96,124,3,
2015,110101,110143007,9,21,,,,,,,,,,,,
2015,110101,110143008,4,21,0,69,15,22,32,,0,202,16,72,114,
2015,110101,110143008,5,21,11,45,10,16,19,,158,158,5,64,89,
2015,110101,110143008,6,21,0,31,5,9,17,,0,163,10,59,94,
2015,110101,110143008,7,21,,51,11,18,24,,3,217,6,92,117,
2015,110101,110143008,8,21,46,46,6,18,22,,197,197,9,65,123,
2015,110101,110143008,9,21,45,45,6,18,21,,245,245,16,101,128,
2015,110101,110143008,10,21,0,17,4,9,4,,0,139,8,67,64,
2015,110101,110143008,11,21,5,52,9,19,24,,9,207,9,94,104,
2015,110101,110143008,12,21,10,59,16,15,28,,19,266,17,102,147,
2015,110101,110143010,5,21,9,9,5,2,1,,29,40,16,15,3,
2015,110101,110143010,6,21,,,,,,,,,,,,
2015,110101,110143010,7,21,8,8,4,4,,,55,95,22,35,11,
2015,110101,110143010,8,21,33,33,8,5,2,,91,91,21,29,8,
2015,110101,110143010,9,21,24,34,11,9,1,,67,100,32,38,15,
2015,110101,110143010,12,21,38,38,64,91,9,,174,174,64,91,9,
2015,110101,110143012,4,21,10,10,5,7,,,21,31,9,31,4,
2015,110101,110143012,5,21,,,,,,,,,,,,
2015,110101,110143012,6,21,10,10,5,7,,,21,31,9,31,4,
2015,110101,110143012,7,21,6,6,4,4,,,34,34,16,28,11,
2015,110101,110143012,8,21,13,13,6,8,1,,36,36,11,24,8,
2015,110101,110143012,9,21,15,15,15,11,,,44,54,11,25,8,
2015,110101,110143012,10,21,12,12,8,5,2,,23,44,9,40,7,
2015,110101,110143012,11,21,5,5,4,5,,,28,31,10,31,12,
2015,110101,110143012,12,21,10,10,4,4,,,40,40,5,37,,
2015,110101,110143013,5,21,40,51,3,18,,,10,26,4,13,,
2015,110101,110143013,6,21,8,13,4,10,,,19,28,1,16,,
2015,110101,110143013,7,21,12,28,4,,5,,24,31,2,,8,
2015,110101,110143013,8,21,4,10,1,,9,,8,14,,,2,
2015,110101,110143013,9,21,9,11,2,12,,,11,70,3,62,5,
2015,110101,110143013,10,21,9,14,,45,,,29,67,,27,9,
2015,110101,110143013,11,21,21,34,2,,20,,12,12,1,,11,
2015,110101,110143017,8,21,,,,,,,,,,,,
2015,110101,110143019,4,21,38,107,32,154,18,,82,210,8,226,51,
2015,110101,110143019,5,21,22,90,16,147,8,,46,184,16,214,35,
2015,110101,110143019,6,21,13,65,11,118,8,,41,238,6,294,42,
2015,110101,110143019,7,21,21,93,13,143,8,,74,226,8,291,35,
2015,110101,110143019,8,21,33,84,30,137,9,,59,202,10,269,14,
2015,110101,110143019,9,21,23,72,12,109,13,,64,221,3,323,28,
2015,110101,110143019,10,21,13,66,14,85,14,,78,232,12,268,37,
2015,110101,110143019,11,21,16,72,3,95,10,,69,203,12,253,24,
2015,110101,110143019,12,21,18,70,18,90,11,,81,229,13,263,33,
2015,110101,110143025,5,21,,,,,,,,,,,,
2015,110101,110143026,5,21,15,,25,10,,,49,3152,,,,
2015,110101,110143026,6,21,12,12,1,16,1,,36,36,7,36,1,
2015,110101,110143026,7,21,2,6,3,9,,,13,13,19,29,1,
2015,110101,110143026,8,21,15,15,1,22,,,29,30,5,55,4,
2015,110101,110143026,9,21,8,13,2,19,,,24,43,7,59,2,
2015,110101,110143026,10,21,14,14,9,19,,,35,35,14,38,1,
2015,110101,110143026,11,21,10,10,5,12,,,18,19,6,26,,
