cAnnee,cCodeNiv,cCodeStru,cPeriode,cTypeRapport,cPRESM_SDM,cPRESM_QRDM,cPRESM_QU,cPRESM_QP,cPRESM_QRFM,cPRESM_NJRS,cPRESF_SDM,cPRESF_QRDM,cPRESF_QU,cPRESF_QP,cPRESF_QRFM,cPRESF_NJRS,cBP_SDM,cBP_QRDM,cBP_QU,cBP_QP,cBP_QRFM,cBP_NJRS,cEPPI10ml_SDM,cEPPI10ml_QRDM,cEPPI10ml_QU,cEPPI10ml_QP,cEPPI10ml_QRFM,cEPPI10ml_NJRS,cSER10ml_SDM,cSER10ml_QRDM,cSER10ml_QU,cSER10ml_QP,cSER10ml_QRFM,cSER10ml_NJRS,cKITEG_SDM,cKITEG_QRDM,cKITEG_QU,cKITEG_QP,cKITEG_QRFM,cKITEG_NJRS,cKITUG_SDM,cKITUG_QRDM,cKITUG_QU,cKITUG_QP,cKITUG_QRFM,cKITUG_NJRS,cBIOL_SDM,cBIOL_QRDM,cBIOL_QU,cBIOL_QP,cBIOL_QRFM,cBIOL_NJRS,cRPR_CONS_SDM,cRPR_CONS_QRDM,cRPR_CONS_QU,cRPR_CONS_QP,cRPR_CONS_QRFM,cRPR_CONS_NJRS,cTEST1_VIH_SDM,cTEST1_VIH_QRDM,cTEST1_VIH_QU,cTEST1_VIH_QP,cTEST1_VIH_QRFM,cTEST1_VIH_NJRS,cTEST2_VIH_SDM,cTEST2_VIH_QRDM,cTEST2_VIH_QU,cTEST2_VIH_QP,cTEST2_VIH_QRFM,cTEST2_VIH_NJRS,cPLUM_NUT_SDM,cPLUM_NUT_QRDM,cPLUM_NUT_QU,cPLUM_NUT_QP,cPLUM_NUT_QRFM,cPLUM_NUT_NJRS,cAMOX_SDM,cAMOX_QRDM,cAMOX_QU,cAMOX_QP,cAMOX_QRFM,cAMOX_NJRS,cVITA_SDM,cVITA_QRDM,cVITA_QU,cVITA_QP,cVITA_QRFM,cVITA_NJRS,cALB_SDM,cALB_QRDM,cALB_QU,cALB_QP,cALB_QRFM,cALB_NJRS,cLOF_MI_SDM,cLOF_MI_QRDM,cLOF_MI_QU,cLOF_MI_QP,cLOF_MI_QRFM,cLOF_MI_NJRS,cOV_MIC_SDM,cOV_MIC_QRDM,cOV_MIC_QU,cOV_MIC_QP,cOV_MIC_QRFM,cOV_MIC_NJRS,cDEPO_SDM,cDEPO_QRDM,cDEPO_QU,cDEPO_QP,cDEPO_QRFM,cDEPO_NJRS,cMEG_SDM,cMEG_QRDM,cMEG_QU,cMEG_QP,cMEG_QRFM,cMEG_NJRS,cCONC_SDM,cCONC_QRDM,cCONC_QU,cCONC_QP,cCONC_QRFM,cCONC_NJRS,cDIU_SDM,cDIU_QRDM,cDIU_QU,cDIU_QP,cDIU_QRFM,cDIU_NJRS,cIPLN_SDM,cIPLN_QRDM,cIPLN_QU,cIPLN_QP,cIPLN_QRFM,cIPLN_NJRS,cCOXY_SDM,cCOXY_QRDM,cCOXY_QU,cCOXY_QP,cCOXY_QRFM,cCOXY_NJRS
2015,110101,110141002,04,21,56000,,2000,,54000,,1500,,500,,1000,,29,,6,,23,,29,,6,,23,,29,,6,,23,,,,,,,,,,,,,,77,150,88,,139,,,,,,,,278,100,88,,290,,38,,,,38,,277,,11,,266,5,16,,,,16,5,,,,,,,,,,,,,926,,174,,752,,143,,36,,107,,608,,124,,484,,,,,,,,,,,,0,,18,,,,18,,77,,,,77,,,,,,,
2015,110101,110141002,04,21,56000,,2000,,54000,,1500,,500,,1000,,29,,6,,23,,29,,6,,23,,29,,6,,23,,,,,,,,,,,,,,77,150,88,,139,,,,,,,,278,100,88,,290,,38,,,,38,,277,,11,,266,5,16,,,,16,5,,,,,,,,,,,,,926,,174,,752,,143,,36,,107,,608,,124,,484,,,,,,,,,,,,0,,18,,,,18,,77,,,,77,,,,,,,
2015,110101,110141002,04,21,56000,,2000,,54000,,1500,,500,,1000,,29,,6,,23,,29,,6,,23,,29,,6,,23,,,,,,,,,,,,,,77,150,88,,139,,,,,,,,278,100,88,,290,,38,,,,38,,277,,11,,266,5,16,,,,16,5,,,,,,,,,,,,,926,,174,,752,,143,,36,,107,,608,,124,,484,,,,,,,,,,,,0,,18,,,,18,,77,,,,77,,,,,,,
2015,110101,110141002,04,21,56000,,2000,,54000,,1500,,500,,1000,,29,,6,,23,,29,,6,,23,,29,,6,,23,,,,,,,,,,,,,,77,150,88,,139,,,,,,,,278,100,88,,290,,38,,,,38,,277,,11,,266,5,16,,,,16,5,,,,,,,,,,,,,926,,174,,752,,143,,36,,107,,608,,124,,484,,,,,,,,,,,,0,,18,,,,18,,77,,,,77,,,,,,,
2015,110101,110141002,04,21,56000,,2000,,54000,,1500,,500,,1000,,29,,6,,23,,29,,6,,23,,29,,6,,23,,,,,,,,,,,,,,77,150,88,,139,,,,,,,,278,100,88,,290,,38,,,,38,,277,,11,,266,5,16,,,,16,5,,,,,,,,,,,,,926,,174,,752,,143,,36,,107,,608,,124,,484,,,,,,,,,,,,0,,18,,,,18,,77,,,,77,,,,,,,
2015,110101,110141002,04,21,56000,,2000,,54000,,1500,,500,,1000,,29,,6,,23,,29,,6,,23,,29,,6,,23,,,,,,,,,,,,,,77,150,88,,139,,,,,,,,278,100,88,,290,,38,,,,38,,277,,11,,266,5,16,,,,16,5,,,,,,,,,,,,,926,,174,,752,,143,,36,,107,,608,,124,,484,,,,,,,,,,,,0,,18,,,,18,,77,,,,77,,,,,,,
2015,110101,110141002,05,21,54000,,4000,,50000,,1000,,600,,400,,23,,6,,17,,23,,6,,17,,23,,6,,17,,,,,,,,,,,,,,139,,53,,86,0,,,,,,,290,50,69,,271,,38,,,,38,,266,300,131,,435,,16,,7,,9,,,,,,,,,,,,,,752,,180,,572,,107,,43,,64,,484,200,124,,560,,,,,,,,,,,,,,18,,3,,15,,70,,18,,52,,,,,,,
2015,110101,110141002,06,21,50000,,8500,,41500,,400,,150,,250,,17,,,,17,0,17,,,,17,,17,,,,17,,,,,,,,,,,,,,86,120,61,,145,,,,,,,,271,100,61,,310,,,,,,,,435,,42,,393,,9,,8,,1,,,,,,,,,200,200,,,,572,,142,,430,,64,,24,,40,,560,,135,,425,,,,,,,,,,,,,,15,,1,,14,,52,,10,,42,,,,,,,
2015,110101,110141002,07,21,41500,400,8000,,33900,,250,,100,,150,,17,,6,,11,,17,,6,,11,,17,,6,,11,,,50,24,,26,,,,,,,,145,,62,,83,,,,,,,,310,,62,,248,,,,,,,,393,,,,393,,1,,,,1,,,,,,,,,,,,,,430,393,123,,700,,40,138,42,,136,,425,200,128,,497,,,,,,,,,,,,,,14,,,,14,,42,20,45,,17,,,,,,,
2015,110101,110141002,08,21,33900,,6500,,27400,,150,,100,,50,,11,,11,,0,,11,,11,,0,,11,,11,,0,,26,,20,,6,,,,,,,,83,,60,,23,,,,,,,,248,,60,,188,,,,,,,,393,,,,393,,1,,,,1,,,,,,,,,,,,,,700,,114,,586,,136,,30,,106,,497,,137,,360,,,,,,,,,,,,,,14,,1,,13,,47,,12,,35,,,,,,,
