cAnnee,cCodeNiv,cCodeStru,cPeriode,cTypeRapport,cBCG_SDM,cBCG_QRDM,cBCG_QU,cBCG_QP,cBCG_QRFM,cBCG_NJRS,cVPO_SDM,cVPO_QRDM,cVPO_QU,cVPO_QP,cVPO_QRFM,cVPO_NJRS,cVPI_SDM,cVPI_QRDM,cVPI_QU,cVPI_QP,cVPI_QRFM,cVPI_NJRS,cDTCHBH_SDM,cDTCHBH_QRDM,cDTCHBH_QU,cDTCHBH_QP,cDTCHBH_QRFM,cDTCHBH_NJRS,cPCV10_SDM,cPCV10_QRDM,cPCV10_QU,cPCV10_QP,cPCV10_QRFM,cPCV10_NJRS,cROTA_SDM,cROTA_QRDM,cROTA_QU,cROTA_QP,cROTA_QRFM,cROTA_NJRS,cVAR_SDM,cVAR_QRDM,cVAR_QU,cVAR_QP,cVAR_QRFM,cVAR_NJRS,cVAT_SDM,cVAT_QRDM,cVAT_QU,cVAT_QP,cVAT_QRFM,cVAT_NJRS,cHPV_SDM,cHPV_QRDM,cHPV_QU,cHPV_QP,cHPV_QRFM,cHPV_NJRS,cSAB05ml_SDM,cSAB05ml_QRDM,cSAB05ml_QU,cSAB05ml_QP,cSAB05ml_QRFM,cSAB05ml_NJRS,cSAB005ml_SDM,cSAB005ml_QRDM,cSAB005ml_QU,cSAB005ml_QP,cSAB005ml_QRFM,cSAB005ml_NJRS,cSER2ml_SDM,cSER2ml_QRDM,cSER2ml_QU,cSER2ml_QP,cSER2ml_QRFM,cSER2ml_NJRS,cSER5ml_SDM,cSER5ml_QRDM,cSER5ml_QU,cSER5ml_QP,cSER5ml_QRFM,cSER5ml_NJRS,cBSECU_SDM,cBSECU_QRDM,cBSECU_QU,cBSECU_QP,cBSECU_QRFM,cBSECU_NJRS,cSOLVBCG_SDM,cSOLVBCG_QRDM,cSOLVBCG_QU,cSOLVBCG_QP,cSOLVBCG_QRFM,cSOLVBCG_NJRS,cSOLVAR_SDM,cSOLVAR_QRDM,cSOLVAR_QU,cSOLVAR_QP,cSOLVAR_QRFM,cSOLVAR_NJRS,cPETRO_SDM,cPETRO_QRDM,cPETRO_QU,cPETRO_QP,cPETRO_QRFM,cPETRO_NJRS,cSPFE_SDM,cSPFE_QRDM,cSPFE_QU,cSPFE_QP,cSPFE_QRFM,cSPFE_NJRS,cRDT_SDM,cRDT_QRDM,cRDT_QU,cRDT_QP,cRDT_QRFM,cRDT_NJRS,cACT021m_SDM,cACT021m_QRDM,cACT021m_QU,cACT021m_QP,cACT021m_QRFM,cACT021m_NJRS,cACT0105a_SDM,cACT0105a_QRDM,cACT0105a_QU,cACT0105a_QP,cACT0105a_QRFM,cACT0105a_NJRS,cACT0613a_SDM,cACT0613a_QRDM,cACT0613a_QU,cACT0613a_QP,cACT0613a_QRFM,cACT0613a_NJRS,cACT1499a_SDM,cACT1499a_QRDM,cACT1499a_QU,cACT1499a_QP,cACT1499a_QRFM,cACT1499a_NJRS,cMID_SDM,cMID_QRDM,cMID_QU,cMID_QP,cMID_QRFM,cMID_NJRS,cAUTPROPALU_SDM,cAUTPROPALU_QRDM,cAUTPROPALU_QU,cAUTPROPALU_QP,cAUTPROPALU_QRFM,cAUTPROPALU_NJRS
2015,110101,110141002,04,21,140,180,120,,200,,,700,400,,300,2,,,,,,,30,470,330,,170,,40,470,338,,172,,115,200,218,1,96,,60,180,140,,100,,,,,,,,152,1500,844,,808,,199,,74,,125,,7,9,6,,10,,6,18,14,,10,,11,,4,,7,,7,9,6,,10,,6,18,14,,10,,,,,,,,,,,,,,78,25,55,1,47,,2,,,,2,,3,,,,3,,3,,,,3,,3,,,,3,,,,,,,,,,,,,,,,,,,
2015,110101,110141002,04,21,140,180,120,,200,,,700,400,,300,2,,,,,,,30,470,330,,170,,40,470,338,,172,,115,200,218,1,96,,60,180,140,,100,,,,,,,,152,1500,844,,808,,199,,74,,125,,7,9,6,,10,,6,18,14,,10,,11,,4,,7,,7,9,6,,10,,6,18,14,,10,,,,,,,,,,,,,,78,25,55,1,47,,2,,,,2,,3,,,,3,,3,,,,3,,3,,,,3,,,,,,,,,,,,,,,,,,,
2015,110101,110141002,04,21,140,180,120,,200,,,700,400,,300,2,,,,,,,30,470,330,,170,,40,470,338,,172,,115,200,218,1,96,,60,180,140,,100,,,,,,,,152,1500,844,,808,,199,,74,,125,,7,9,6,,10,,6,18,14,,10,,11,,4,,7,,7,9,6,,10,,6,18,14,,10,,,,,,,,,,,,,,78,25,55,1,47,,2,,,,2,,3,,,,3,,3,,,,3,,3,,,,3,,,,,,,,,,,,,,,,,,,
2015,110101,110141002,04,21,140,180,120,,200,,,700,400,,300,2,,,,,,,30,470,330,,170,,40,470,338,,172,,115,200,218,1,96,,60,180,140,,100,,,,,,,,152,1500,844,,808,,199,,74,,125,,7,9,6,,10,,6,18,14,,10,,11,,4,,7,,7,9,6,,10,,6,18,14,,10,,,,,,,,,,,,,,78,25,55,1,47,,2,,,,2,,3,,,,3,,3,,,,3,,3,,,,3,,,,,,,,,,,,,,,,,,,
2015,110101,110141002,04,21,140,180,120,,200,,,700,400,,300,2,,,,,,,30,470,330,,170,,40,470,338,,172,,115,200,218,1,96,,60,180,140,,100,,,,,,,,152,1500,844,,808,,199,,74,,125,,7,9,6,,10,,6,18,14,,10,,11,,4,,7,,7,9,6,,10,,6,18,14,,10,,,,,,,,,,,,,,78,25,55,1,47,,2,,,,2,,3,,,,3,,3,,,,3,,3,,,,3,,,,,,,,,,,,,,,,,,,
2015,110101,110141002,04,21,140,180,120,,200,,,700,400,,300,2,,,,,,,30,470,330,,170,,40,470,338,,172,,115,200,218,1,96,,60,180,140,,100,,,,,,,,152,1500,844,,808,,199,,74,,125,,7,9,6,,10,,6,18,14,,10,,11,,4,,7,,7,9,6,,10,,6,18,14,,10,,,,,,,,,,,,,,78,25,55,1,47,,2,,,,2,,3,,,,3,,3,,,,3,,3,,,,3,,,,,,,,,,,,,,,,,,,
2015,110101,110141002,05,21,200,120,100,,220,,300,8520,8020,,800,,,165,105,,60,,170,500,390,,280,,172,500,376,,296,,96,450,251,,295,,100,160,160,,100,,160,,80,,80,,,,,,,,808,965,1053,,720,,125,100,66,,159,,10,6,5,,11,,10,6,5,,11,,7,16,16,,7,,,,,,,,,,,,,,,,,,,,,,,,,,47,,18,4,25,,2,,,,2,,3,,,,3,,3,,,2,1,,3,,,1,2,,,,,,,,,,,,,
2015,110101,110141002,06,21,220,140,120,,240,,800,,460,,340,,60,180,175,,65,,280,350,430,,200,,296,340,426,,210,,295,100,270,,125,,100,150,110,,140,,80,200,80,,200,,,,,,,,720,1300,1177,2,841,,159,100,71,,188,,11,7,6,,12,,11,15,11,,15,,7,5,5,,7,,9,7,6,,,,10,15,11,,14,,,,,,,,,,,,,,25,75,40,2,58,,2,,,,2,,3,,,2,1,,2,,,1,1,,,,,,,,,,,,,,,,,,,
2015,110101,110141002,07,21,200,140,140,,200,,340,500,440,,400,,65,125,150,,40,,200,400,390,,210,,210,380,384,,206,,125,430,236,,319,,140,100,140,,100,,200,,60,,140,,,,,,,,841,980,1105,,716,,188,100,82,,206,,12,7,7,,12,,15,10,14,,11,,7,5,6,,6,,,7,7,,,,14,10,14,,10,,,,,,,,,,,,,,58,75,45,,88,,2,,,,2,,1,,,,1,,1,,,,1,,1,,,,1,,,,,,,,,,,,,
2015,110101,110141002,08,21,200,,100,,100,,400,10400,7920,,2880,,40,300,130,,210,,210,380,370,,220,,206,384,382,,208,,319,100,252,,167,,100,150,120,,130,,140,100,80,,160,,,,,,,,716,1300,1062,,954,,206,,79,,127,,12,,5,,7,,11,15,12,,14,,6,7,6,,7,,0,10,5,,5,,10,15,12,,13,,,,,,,,,,,,,,88,75,36,3,124,0,2,,,,2,,1,,,,1,,1,,,,1,,1,,,,1,,,,,,,,,,,,,
