cAnnee,cCodeNiv,cCodeStru,uid_dhis2,cPeriode,cTypeRapport,cSRO_NJRS
2015,110101,110141003,PndXs3uNFPE,05,21,
2015,110101,110141003,PndXs3uNFPE,06,21,30
2015,110101,110141003,PndXs3uNFPE,06,21,30
2015,110101,110141003,PndXs3uNFPE,06,21,30
2015,110101,110141003,PndXs3uNFPE,06,21,30
2015,110101,110141003,PndXs3uNFPE,06,21,30
2015,110101,110141003,PndXs3uNFPE,08,21,30
2015,110101,110141004,BTovhI5myb3,06,21,
2015,110101,110141004,BTovhI5myb3,07,21,
2015,110101,110141004,BTovhI5myb3,12,21,30
2015,110101,110141005,gJnQmgrHMaW,04,21,
2015,110101,110141005,gJnQmgrHMaW,05,21,
2015,110101,110141005,gJnQmgrHMaW,08,21,
2015,110101,110142014,cP35Gj04Jpj,06,21,
2015,110101,110142014,cP35Gj04Jpj,08,21,
2015,110101,110142014,cP35Gj04Jpj,09,21,
2015,110101,110143017,QuBL9G8sDCy,08,21,
2015,110101,110143028,iVLpRxwY10w,04,21,
2015,110101,110143145,DgXDLgk2H7d,07,21,
2015,110102,110141042,r0OnagUSEaq,04,21,30
2015,110102,110141042,r0OnagUSEaq,08,21,
2015,110102,110141042,r0OnagUSEaq,09,21,10
2015,110102,110141042,r0OnagUSEaq,10,21,
2015,110102,110141042,r0OnagUSEaq,11,21,25
2015,110102,110141043,Vf9wv1RDQtv,04,21,
2015,110102,110141043,Vf9wv1RDQtv,06,21,
2015,110102,110141043,Vf9wv1RDQtv,09,21,
2015,110102,110141044,fwgt6MkkE1P,05,21,
2015,110102,110141044,fwgt6MkkE1P,06,21,
2015,110102,110141044,fwgt6MkkE1P,07,21,
2015,110102,110141044,fwgt6MkkE1P,08,21,
2015,110102,110141044,fwgt6MkkE1P,09,21,
2015,110102,110141044,fwgt6MkkE1P,10,21,
2015,110103,110143058,QuKkM6hI376,04,21,
2015,110103,110143059,THOWvHRAfFl,05,21,
2015,110103,110143078,trhLqEYK6Ig,04,21,
2015,110104,110141079,dezoMDQNTdH,06,21,
2015,110104,110141080,PfP0yq3CnQt,05,21,
2015,110104,110141080,PfP0yq3CnQt,06,21,
2015,110104,110142086,NTVonHWRcHs,08,21,
2015,110104,110143092,b4hqyQ8OIOo,08,21,
2015,110104,110143093,GF0SNcIvxWs,08,21,
2015,110104,110143136,ARNAvVWx6W7,08,21,
2015,110105,110141096,tkZkvk8tLGj,04,21,
2015,110105,110141096,tkZkvk8tLGj,05,21,
2015,110105,110141096,tkZkvk8tLGj,06,21,
2015,110105,110141096,tkZkvk8tLGj,07,21,
2015,110105,110141096,tkZkvk8tLGj,08,21,
2015,110105,110141096,tkZkvk8tLGj,09,21,
2015,110105,110141097,KT2sin05gaq,07,21,
2015,110105,110142099,byEgV7OgUN3,04,21,
2015,110105,110143139,ZCDzTWevsY6,04,21,
2015,110106,110141122,JxwZDARd57n,06,21,
2015,110106,110141122,JxwZDARd57n,07,21,
2015,110106,110141122,JxwZDARd57n,12,21,30
2015,110201,110243001,BVt6WGTCdE7,06,21,
2015,110201,110243001,BVt6WGTCdE7,07,21,
2015,110201,110243001,BVt6WGTCdE7,08,21,
2015,110201,110243001,BVt6WGTCdE7,09,21,
2015,110201,110243001,BVt6WGTCdE7,10,21,
2015,110201,110243001,BVt6WGTCdE7,11,21,
2015,110201,110243001,BVt6WGTCdE7,12,21,
2015,110201,110243002,tZJ33xofPYk,07,21,
2015,110201,110243002,tZJ33xofPYk,08,21,
2015,110201,110243002,tZJ33xofPYk,09,21,
2015,110201,110243002,tZJ33xofPYk,10,21,
2015,110201,110243002,tZJ33xofPYk,11,21,
2015,110201,110243002,tZJ33xofPYk,12,21,
2015,110201,110243024,gPweBezlte7,06,21,
2015,110201,110243024,gPweBezlte7,08,21,
2015,110201,110243024,gPweBezlte7,09,21,
2015,110201,110243024,gPweBezlte7,10,21,
2015,110201,110243024,gPweBezlte7,11,21,
2015,110201,110243024,gPweBezlte7,12,21,
2015,110202,110241004,ssdyLRaa41a,04,21,
2015,110202,110241004,ssdyLRaa41a,05,21,
2015,110202,110241004,ssdyLRaa41a,06,21,
2015,110202,110241004,ssdyLRaa41a,07,21,
2015,110202,110241004,ssdyLRaa41a,08,21,
2015,110202,110241004,ssdyLRaa41a,09,21,
2015,110202,110241004,ssdyLRaa41a,10,21,
2015,110202,110241004,ssdyLRaa41a,11,21,
2015,110202,110241004,ssdyLRaa41a,12,21,
2015,110203,110241005,EtNTzk4EmM7,04,21,
2015,110203,110241005,EtNTzk4EmM7,05,21,
2015,110203,110241005,EtNTzk4EmM7,06,21,
2015,110203,110241005,EtNTzk4EmM7,07,21,
2015,110203,110241005,EtNTzk4EmM7,08,21,
2015,110203,110241005,EtNTzk4EmM7,09,21,
2015,110203,110241005,EtNTzk4EmM7,10,21,
2015,110203,110241005,EtNTzk4EmM7,11,21,
2015,110203,110241005,EtNTzk4EmM7,12,21,
2015,110204,110241006,jY2hWucJXwv,04,21,0
2015,110204,110241006,jY2hWucJXwv,05,21,
2015,110204,110241006,jY2hWucJXwv,06,21,
2015,110204,110241006,jY2hWucJXwv,07,21,
2015,110204,110241006,jY2hWucJXwv,08,21,
2015,110204,110241006,jY2hWucJXwv,09,21,
2015,110204,110241006,jY2hWucJXwv,10,21,
2015,110204,110241006,jY2hWucJXwv,11,21,
2015,110204,110241006,jY2hWucJXwv,12,21,
2015,110204,110253007,VOBUkftSqIW,07,21,
2015,110204,110253007,VOBUkftSqIW,08,21,
2015,110204,110253007,VOBUkftSqIW,09,21,
2015,110204,110253007,VOBUkftSqIW,10,21,
2015,110204,110253007,VOBUkftSqIW,11,21,
2015,110204,110253007,VOBUkftSqIW,12,21,
2015,110205,110241009,MU2nrgmgBsC,04,21,
2015,110205,110241009,MU2nrgmgBsC,05,21,
2015,110205,110241009,MU2nrgmgBsC,06,21,
2015,110205,110241009,MU2nrgmgBsC,07,21,
2015,110205,110241009,MU2nrgmgBsC,08,21,
2015,110205,110241009,MU2nrgmgBsC,09,21,
