cAnnee,cCodeNiv,cCodeStru,cPeriode,cTypeRapport,cAMINOCP_NJRS,cAMOXCP_NJRS,cBENZPENINJ_NJRS,cCAPTOCP_NJRS,cCHLORCP_NJRS,cCOTRIMCP_NJRS,cFAFCP_NJRS,cGENTAINJ_NJRS,cHYDROCHLCP_NJRS,cIBUCP_NJRS,cMETOCLOCP_NJRS,cPARACETCP_NJRS,cMETRONCP_NJRS,cPHENOCP_NJRS,cSRO_NJRS
2015,110101,110141003,05,21,,,,,,,,,,,,,,,
2015,110101,110141003,06,21,,,,,,,30,30,,,,,,30,30
2015,110101,110141003,06,21,,,,,,,30,30,,,,,,30,30
2015,110101,110141003,06,21,,,,,,,30,30,,,,,,30,30
2015,110101,110141003,06,21,,,,,,,30,30,,,,,,30,30
2015,110101,110141003,06,21,,,,,,,30,30,,,,,,30,30
2015,110101,110141003,06,21,,,,,,,30,30,,,,,,30,30
2015,110101,110141003,08,21,,,,,,,,30,,,,,,,30
2015,110101,110141004,06,21,,,,,,,,,,,,,,30,
2015,110101,110141004,07,21,,,,,,,30,,,,,,,30,
2015,110101,110141004,12,21,,,,,,,,,,,,,,,30
2015,110101,110141005,04,21,,,,,,,,,,,,,,,
2015,110101,110141005,05,21,,,,,,,,,,,,,,,
2015,110101,110141005,08,21,,,,,,,,,,,,,,,
2015,110101,110142014,06,21,,,,,,,,,30,,,,,30,
2015,110101,110142014,08,21,,,,,,10,,,30,,,,,30,
2015,110101,110142014,09,21,,,,15,,20,,,28,,,,,28,
2015,110101,110143017,08,21,,,,,,,,,,,,,,,
2015,110101,110143028,04,21,,,,,,,,,,,,,,,
2015,110101,110143145,07,21,,,,,,,,,,,,,,,
2015,110102,110141042,04,21,,,,30,30,,20,,30,30,,,,30,30
2015,110102,110141042,08,21,,,30,,,,,,30,,,,,,
2015,110102,110141042,09,21,,,,,,,10,,15,,,,,,10
2015,110102,110141042,10,21,,,,,,,30,,,,,,,,
2015,110102,110141042,11,21,,,,,25,,,,,,,,,,25
2015,110102,110141043,04,21,15,,,30,,,30,,,,,,30,,
2015,110102,110141043,06,21,,,,,,,,,,,,,,,
2015,110102,110141043,09,21,,,,,,,,,,,,,,,
2015,110102,110141044,05,21,,,,,,,30,,,,,,,30,
2015,110102,110141044,06,21,,,,,,,30,,,,,,,30,
2015,110102,110141044,07,21,,,,,,,,,,,30,,,,
2015,110102,110141044,08,21,,,,,,,,,,,30,,,,
2015,110102,110141044,09,21,,,,,,,,,,,30,,,,
2015,110102,110141044,10,21,,30,,,,,,,,,30,,,,
2015,110103,110143058,04,21,,,,,,,,,,,,,,,
2015,110103,110143059,05,21,,,,,,,,,,,,,,,
2015,110103,110143078,04,21,,,,,,,,,,,,,,,
2015,110104,110141079,06,21,,,,,,,30,,30,,,,,30,
2015,110104,110141080,05,21,,,,,,,,,,,,,,,
2015,110104,110141080,06,21,,,,,,,30,,,,,,,30,
2015,110104,110142086,08,21,,,,,,,,,,,,,,,
2015,110104,110143092,08,21,,,,,,,,,,,,,,,
2015,110104,110143093,08,21,,,,,,,,,,,,,,,
2015,110104,110143136,08,21,,,,,,,,,,,,,,,
2015,110105,110141096,04,21,,,,,30,,,,,,,,,30,
2015,110105,110141096,05,21,,,,,,,,,,,,,,,
2015,110105,110141096,06,21,,,,,,,30,,,,,,,30,
2015,110105,110141096,07,21,,,,30,,,30,,,,,,,30,
2015,110105,110141096,08,21,,,,30,,,,,,,,,,,
2015,110105,110141096,09,21,,,,30,,,,,30,,,,,,
2015,110105,110141097,07,21,,,,,,,,,,,,,,,
2015,110105,110142099,04,21,,7,,,30,,30,,,,,7,,14,
2015,110105,110143139,04,21,,,,,,,,,,,,,,,
2015,110106,110141122,06,21,,,,,,,,,,,,,,,
2015,110106,110141122,07,21,,,30,30,,,30,30,30,,,,,30,
2015,110106,110141122,12,21,,,30,,,,30,,,,30,,,30,30
2015,110201,110243001,06,21,,,,,,,,,,,,,,,
2015,110201,110243001,07,21,,,,,,,,,,,,,,,
2015,110201,110243001,08,21,,,,,,,,,,,,,,,
2015,110201,110243001,09,21,,,,,,,,,,,,,,,
2015,110201,110243001,10,21,,,,,,,,,,,,,,,
2015,110201,110243001,11,21,,,,,,,,,,,,,,,
2015,110201,110243001,12,21,,,,,,,,,,,,,,,
2015,110201,110243002,07,21,,,,,,,,,,,,,,,
2015,110201,110243002,08,21,,,,,,,,,,,,,,,
2015,110201,110243002,09,21,,,,,,,,,,,,,,,
2015,110201,110243002,10,21,,,,,,,,,,,,,,,
2015,110201,110243002,11,21,,,,,,,,,,,,,,,
2015,110201,110243002,12,21,,,,,,,,,,,,,,,
2015,110201,110243024,06,21,,,,,,,,,,,,,,,
2015,110201,110243024,08,21,,,,,,,,,,,,,,,
2015,110201,110243024,09,21,,,,,,,,,,,,,,,
2015,110201,110243024,10,21,,,,,,,,,,,,,,,
2015,110201,110243024,11,21,,,,,,,,,,,,,,,
2015,110201,110243024,12,21,,,,,,,,,,,,,,,
2015,110202,110241004,04,21,0,,,,,,,,,,,,,,
2015,110202,110241004,05,21,0,,,,,,,,,,,,,,
2015,110202,110241004,06,21,,,,,,,,,,,,,,,
2015,110202,110241004,07,21,,,,,,,,,,,,,,,
2015,110202,110241004,08,21,0,,,,,,,,,,,,,,
2015,110202,110241004,09,21,,,,,,,,,,,,,,,
2015,110202,110241004,10,21,,,,,,,,,,,,,,,
2015,110202,110241004,11,21,,,,,,,,,,,,,,,
2015,110202,110241004,12,21,,,,,,,,,,,,,,,
2015,110203,110241005,04,21,,,,30,,,,,30,,,,,,
2015,110203,110241005,05,21,,,,30,,,,,30,,,,,,
2015,110203,110241005,06,21,,,,30,,,,,30,,,,,,
2015,110203,110241005,07,21,,,,30,,,,,30,,,,,,
2015,110203,110241005,08,21,0,,,,,,,,,,,,,,
2015,110203,110241005,09,21,,,,30,,,,,30,,,,,,
2015,110203,110241005,10,21,,,,30,,,,,30,,,,,,
2015,110203,110241005,11,21,,,,30,,,,,30,,,,,,
2015,110203,110241005,12,21,,,,30,,,,,30,,30,,,30,
2015,110204,110241006,04,21,0,0,0,30,0,0,0,0,30,0,0,0,0,0,0
2015,110204,110241006,05,21,,,,30,,,,,30,,,,,15,
2015,110204,110241006,06,21,,,,30,,,,,30,,,,,30,
2015,110204,110241006,07,21,,,,30,,,,,30,,,,,30,
2015,110204,110241006,08,21,0,,,,,,,,,,,,,,
2015,110204,110241006,09,21,,,,30,,,,,30,,,,,,
2015,110204,110241006,10,21,,,,30,,,,,30,,,,,,
2015,110204,110241006,11,21,,,,30,,,,,30,,,,,,
2015,110204,110241006,12,21,,,,30,,,,,30,,,,,,
2015,110204,110253007,07,21,,,,,,,,,,,,,,,
2015,110204,110253007,08,21,,,,,,,,,,,,,,,
2015,110204,110253007,09,21,,,,,,,,,,,,,,,
2015,110204,110253007,10,21,,,,,,,,,,,,,,,
2015,110204,110253007,11,21,,,,,,,,,,,,,,,
2015,110204,110253007,12,21,,,,,,,,,,,,,,,
2015,110205,110241009,04,21,,,,,,,,,,,,,,30,
2015,110205,110241009,05,21,,,,,,,,,,,,,,30,
2015,110205,110241009,06,21,,,,,,,,,,,,,,30,
2015,110205,110241009,07,21,,,,,,,,,,,,,,30,
2015,110205,110241009,08,21,0,,,,,,,,,,,,,,
2015,110205,110241009,09,21,,,,,,,,,,,,,,,
2015,110205,110241009,10,21,,,,,,,,,,,,,,,
2015,110205,110241009,11,21,,,,,,,,,,,,,,,
2015,110205,110241009,12,21,,,,,,,,,,,,,,,
2015,110207,110241010,04,21,30,0,0,0,0,0,0,0,30,0,30,0,0,0,0
2015,110207,110241010,05,21,30,,,,,,,,30,,30,,,,
2015,110207,110241010,06,21,30,,,,,,,,30,,30,,,,
2015,110207,110241010,07,21,30,,,,,,,,30,,30,,,,
2015,110207,110241010,08,21,30,,,,,,,,30,,30,,,,
2015,110207,110241010,09,21,,,,,,,,,,,,,,,
2015,110207,110241010,10,21,30,,,,,,,,30,,30,,,,
2015,110207,110241010,11,21,30,,,15,,,,,30,,30,,,,
2015,110207,110241010,12,21,30,,,,,,,,30,,30,,,,
2015,110207,110243069,04,21,,,,,,,,,,,,,,,
2015,110208,110241011,04,21,,,,,,,,,,,,,,,
2015,110208,110241011,05,21,0,,,,,,,,,,,,,,
2015,110208,110241011,06,21,,,,,,,,,,,,,,,
2015,110208,110241011,07,21,,,,,,,,,,,,,,,
2015,110208,110241011,08,21,0,,,,,,,,,,,,,,
2015,110208,110241011,09,21,,,,,,,,,,,,,,,
2015,110208,110241011,10,21,,,,,,,,,,,,,,,
2015,110208,110241011,11,21,,,,,,,,,,,,,,,
2015,110208,110241011,12,21,,,,,,,,,,,,,,,
2015,110209,110241012,04,21,,,,,14,,,,14,,,,14,29,
2015,110209,110241012,05,21,,,,,,,,,,,,,,30,
2015,110209,110241012,06,21,,,,,,,,,,19,,,,30,
2015,110209,110241012,07,21,,,,,,,,,,,,,,30,
2015,110209,110241012,08,21,0,,,,,,,,,,,,,,
2015,110209,110241012,09,21,,,,,,,,,,,,21,,,
2015,110209,110241012,10,21,,,,,,,,,,,,30,,,
2015,110209,110241012,11,21,,,,,,,,,,,,,13,,
2015,110209,110241012,12,21,,,,,,,,,,,,,7,,
2015,110209,110243013,05,21,,,,,,,,,,,,,,,
2015,110209,110243013,12,21,,,,,,,,,,,,,,,
2015,110209,110243058,07,21,,,,,,,,,,,,,,,
2015,110209,110243058,08,21,,,,,,,,,,,,,,,
2015,110209,110243058,09,21,,,,,,,,,,,,,,,
2015,110209,110243058,10,21,,,,,,,,,,,,,,,
2015,110209,110243058,11,21,,,,,,,,,,,,,,,
2015,110209,110243058,12,21,,,,,,,,,,,,,,,
2015,110210,110241014,04,21,,,,,,,,,,,,,,,
2015,110210,110241014,05,21,,,,,,,,,,,,,,,
2015,110210,110241014,06,21,,,,,,,,,,,,,,,
2015,110210,110241014,07,21,,,,,,,,,,,,,,,
2015,110210,110241014,08,21,,,,,,,,,,,,,,,
2015,110210,110241014,09,21,,,,,,,,,,,,,,,
2015,110210,110241014,10,21,,,,,,,,,,,,,,,
2015,110210,110241014,11,21,0,,,,,,,,,,,,,,
2015,110210,110241014,12,21,0,,,,,,,,,,,,,,
2015,110210,110242015,05,21,,,,,,,,,,,,,,,
2015,110210,110242015,08,21,,,,,,,,,,,,,,,
2015,110210,110242015,09,21,,,,,,,,,,,,,,,
2015,110210,110242015,10,21,,,,,,,,,,,,,,,
2015,110210,110242015,11,21,,,,,,,,,,,,,,,
2015,110210,110242015,12,21,,,,,,,,,,,,,,,
2015,110211,110241016,04,21,,,,,,,,,,,,,,,
2015,110211,110241016,05,21,,,,,,,,,,,,,,,
2015,110211,110241016,06,21,,,,,,,,,,,,,,,
2015,110211,110241016,07,21,,,,,,,,,,,,,,,
2015,110211,110241016,08,21,,,,,,,,,0,,,,,,
2015,110211,110241016,09,21,,,,,,,,,,,,,,,
2015,110211,110241016,10,21,,,,,,,,,,,,,,,
2015,110211,110241016,11,21,,,,,,,,,,,,,,,
2015,110211,110241016,12,21,,,,,,,,,,,,,,,
2015,110211,110242020,08,21,,,,,,,,,,,,,,,
2015,110211,110242020,09,21,,,,,,,,,,,,,,,
2015,110211,110242020,11,21,,,,,,,,,,,,,,,
2015,110211,110242020,12,21,,,,,,,,,,,,,,,
2015,110211,110243017,08,21,,,,,,,,,,,,,,,
2015,110211,110243017,09,21,,,,,,,,,,,,,,,
2015,110211,110243017,10,21,,,,,,,,,,,,,,,
2015,110211,110243017,11,21,,,,,,,,,,,,,,,
2015,110211,110243017,12,21,,,,,,,,,,,,,,,
2015,110211,110243018,07,21,,,,,,,,,,,,,,,
2015,110211,110243019,07,21,,,,,,,,,,,,,,,
2015,110211,110243019,08,21,,,,,,,,,,,,,,,
2015,110211,110243019,10,21,,,,,,,,,,,,,,,
2015,110211,110243019,11,21,,,,,,,,,,,,,,,
2015,110211,110243021,11,21,,,,,,,,,,,,,,,
2015,110211,110243021,12,21,,,,,,,,,,,,,,,
2015,110211,110243022,04,21,,,,,,,,,,,,,,,
2015,110211,110243022,05,21,,,,,,,,,,,,,,,
2015,110211,110243022,06,21,,,,,,,,,,,,,,,
2015,110211,110243022,07,21,,,,,,,,,,,,,,,
2015,110211,110243022,08,21,,,,,,,,,,,,,,,
2015,110211,110243022,09,21,,,,,,,,,,,,,,,
2015,110211,110243022,11,21,,,,,,,,,,,,,,,
2015,110211,110243035,08,21,,,,,,,,,,,,,,,
2015,110211,110243035,09,21,,,,,,,,,,,,,,,
2015,110211,110243035,10,21,,,,,,,,,,,,,,,
2015,110211,110243035,11,21,,,,,,,,,,,,,,,
2015,110211,110243035,12,21,,,,,,,,,,,,,,,
2015,110212,110241023,04,21,,,,,,,,,,,,,,,
2015,110212,110241023,05,21,,,,,,,,,,,,,,,
2015,110212,110241023,06,21,,,,,,,,,,,,,,,
2015,110212,110241023,07,21,,,,,,,,,,,,,,,
2015,110212,110241023,08,21,,,,,,,,,,,,,,,
2015,110212,110241023,09,21,,,,,,,,,,,,,,,
2015,110212,110241023,10,21,,,,,,,,,,,,,,,
2015,110212,110241023,11,21,,,,,,,,,,,,,,,
2015,110212,110241023,12,21,,,,,,,,,,,,,,,
2015,110212,110242029,07,21,,,,,,,,,,,,,,,
2015,110212,110242029,08,21,,,,,,,,,,,,,,,
2015,110212,110242029,09,21,,,,,,,,,,,,,,,
2015,110212,110242029,10,21,,,,,,,,,,,,,,,
2015,110212,110242029,11,21,,,,,,,,,,,,,,,
2015,110212,110242029,12,21,,,,,,,,,,,,,,,
2015,110212,110243027,07,21,,,,,,,,,,,,,,,
2015,110212,110243027,08,21,,,,,,,,,,,,,,,
2015,110212,110243027,09,21,,,,,,,,,,,,,,,
2015,110212,110243027,11,21,,,,,,,,,,,,,,,
2015,110212,110243027,12,21,,,,,,,,,,,,,,,
