cAnnee,cCodeNiv,cCodeStru,cPeriode,cTypeRapport,cAMINOCP_NJRS,cAMOXCP_NJRS,cBENZPENINJ_NJRS,cCAPTOCP_NJRS,cCHLORCP_NJRS,cCOTRIMCP_NJRS,cFAFCP_NJRS,cGENTAINJ_NJRS,cHYDROCHLCP_NJRS,cIBUCP_NJRS,cMETOCLOCP_NJRS,cPARACETCP_NJRS,cMETRONCP_NJRS,cPHENOCP_NJRS,cSRO_NJRS
2015,110218,110243042,07,21,,,,,,,,,,,,,,,
2015,110218,110243042,08,21,,,,,,,,,,,,,,,
2015,110218,110243042,09,21,,,,,,,,,,,,,,,
2015,110218,110243042,10,21,,,,,,,,,,,,,,,
2015,110218,110243042,11,21,,,,,,,,,,,,,,,
2015,110218,110243042,12,21,,,,,,,,,,,,,,,
2015,110218,110243068,08,21,,,,,,,,,,,,,,,
2015,110218,110243068,09,21,,,,,,,,,,,,,,,
2015,110218,110243068,10,21,,,,,,,,,,,,,,,
2015,110305,110342016,09,21,,,,,,,,,,,,,,,
2015,110307,110343027,05,21,,,,,,,30,,,,,,,,
2015,110307,110343027,07,21,,,,,,,,,,,,,,,
2015,110307,110343027,08,21,,,,,,,30,,,,,,,,
2015,110307,110343059,08,21,,,,,,,,,,,,,,,
2015,110505,110551029,04,21,,5,30,,,5,30,,,,,,,30,30
2015,110505,110551029,05,21,,,,,,,30,,,,,,,,30
2015,110505,110551029,07,21,,,,,15,15,30,,,,30,,,30,
2015,120113,120141044,07,21,10,30,30,30,,30,30,30,,30,15,15,30,30,
2015,120113,120141044,08,21,,,,,,,,,,,,,,,
2015,120113,120141044,10,21,,30,30,30,30,30,,30,30,30,30,30,30,30,30
2015,120113,120141044,11,21,,,,,,,,,,,,,,,
2015,120113,120141044,12,21,,,,30,,,,,30,,30,,,,
2015,130305,130342008,08,21,,,,,,,,,,,,,,,
2015,130305,130342008,10,21,,,,,,,,,,,,,,,
2015,130305,130342008,11,21,,,,,,,,,,,,,,,
2015,140101,140142019,04,21,,,,,,,,,,,,,,,
2015,140101,140142019,05,21,,,,,,,,,,,,,,,
2015,140101,140142019,06,21,,,,,,,,,,,,,,,
2015,140101,140142019,07,21,,,,,,,,,,,,,,,
2015,140101,140142019,08,21,,,,,,,,,,,,,,,
2015,140101,140142019,09,21,,,,,,,,,,,,,,,
2015,140101,140142019,10,21,,,,,,,,,,,,,,,
2015,140101,140142019,11,21,,,,,,,,,,,,,,,
2015,140101,140142019,12,21,,,,,,,,,,,,,,,
2015,140101,140142028,04,21,,,,,,,,,,,,,,,
2015,140101,140142028,05,21,,,,,,,,,,,,,,,
2015,140101,140142028,06,21,,,,,,,,,,,,,,,
2015,140101,140142028,07,21,,,,,,,,,,,,,,,
2015,140101,140142028,08,21,,,,,,,,,,,,,,,
2015,140101,140142028,09,21,,,,,,,,,,,,,,,
2015,140101,140142028,10,21,,,,,,,,,,,,,,,
2015,140101,140142028,11,21,,,,,,,,,,,,,,,
2015,140101,140142028,12,21,,,,,,,,,,,,,,,
2015,140101,140143007,04,21,,,,,,,,,,,,,,,
2015,140101,140143007,05,21,,,,,,,,,,,,,,,
2015,140101,140143007,06,21,,,,,,,,,,,,,,,
2015,140101,140143007,07,21,,,,,,,,,,,,,,,
2015,140101,140143007,08,21,,,,,,,,,,,,,,,
2015,140101,140143007,09,21,,,,,,,,,,,,,,,
2015,140101,140143007,10,21,,,,,,,,,,,,,,,
2015,140101,140143007,11,21,,,,,,,,,,,,,,,
2015,140101,140143007,12,21,,,,,,,,,,,,,,,
2015,140101,140143010,04,21,,,,,,,,,,,,,,,
2015,140101,140143010,05,21,,,,,,,,,,,,,,,
2015,140101,140143010,06,21,,,,,,,,,,,,,,,
2015,140101,140143010,07,21,,,,,,,,,,,,,,,
2015,140101,140143010,08,21,,,,,,,,,,,,,,,
2015,140101,140143010,09,21,,,,,,,,,,,,,,,
2015,140101,140143010,10,21,,,,,,,,,,,,,,,
2015,140101,140143010,11,21,,,,,,,,,,,,,,,
2015,140101,140143010,12,21,,,,,,,,,,,,,,,
2015,140101,140143013,04,21,,,,,,,,,,,,,,,
2015,140101,140143013,08,21,,,,,,,,,,,,,,,
2015,140101,140143013,09,21,,,,,,,,,,,,,,,
2015,140101,140143013,10,21,,,,,,,,,,,,,,,
2015,140101,140143013,11,21,,,,,,,,,,,,,,,
2015,140101,140143013,12,21,,,,,,,,,,,,,,,
2015,140101,140143014,04,21,,,,,,,,,,,,,,,
2015,140101,140143014,05,21,,,,,,,,,,,,,,,
2015,140101,140143014,06,21,,,,,,,,,,,,,,,
2015,140101,140143014,07,21,,,,,,,,,,,,,,,
2015,140101,140143014,08,21,,,,,,,,,,,,,,,
2015,140101,140143014,09,21,,,,,,,,,,,,,,,
2015,140101,140143014,10,21,,,,,,,,,,,,,,,
2015,140101,140143014,11,21,,,,,,,,,,,,,,,
2015,140101,140143014,12,21,,,,,,,,,,,,,,,
2015,140101,140143029,04,21,,,,,,,,,,,,,,,
2015,140101,140143029,05,21,,,,,,,,,,,,,,,
2015,140101,140143029,06,21,,,,,,,,,,,,,,,
2015,140101,140143029,07,21,,,,,,,,,,,,,,,
2015,140101,140143029,08,21,,,,,,,,,,,,,,,
2015,140101,140143029,09,21,,,,,,,,,,,,,,,
2015,140101,140143029,10,21,,,,,,,,,,,,,,,
2015,140101,140143029,11,21,,,,,,,,,,,,,,,
2015,140101,140143029,12,21,,,,,,,,,,,,,,,
2015,140101,140143034,04,21,,,,,,,,,,,,,,,
2015,140101,140143034,05,21,,,,,,,,,,,,,,,
2015,140101,140143034,06,21,,,,,,,,,,,,,,,
2015,140101,140143034,07,21,,,,,,,,,,,,,,,
2015,140101,140143034,08,21,,,,,,,,,,,,,,,
2015,140101,140143034,09,21,,,,,,,,,,,,,,,
2015,140101,140143034,10,21,,,,,,,,,,,,,,,
2015,140101,140143034,11,21,,,,,,,,,,,,,,,
2015,140101,140143034,12,21,,,,,,,,,,,,,,,
2015,140101,140152026,04,21,,,,,,,,,,,,,,,
2015,140101,140152026,05,21,,,,,,,,,,,,,,,
2015,140101,140152026,06,21,,,,,,,,,,,,,,,
2015,140101,140152026,07,21,,,,,,,,,,,,,,,
2015,140101,140152026,08,21,,,,,,,,,,,,,,,
2015,140101,140152026,09,21,,,,,,,,,,,,,,,
2015,140101,140152026,10,21,,,,,,,,,,,,,,,
2015,140101,140152026,11,21,,,,,,,,,,,,,,,
2015,140101,140152026,12,21,,,,,,,,,,,,,,,
2015,140202,140243040,06,21,,,,,,,,,,,,,,,
2015,140202,140243040,07,21,,,,,,,,,,,,,,,
2015,140202,140243040,09,21,,,,,,,,,,,,,,,
2015,140202,140243040,10,21,,,,,,,,,,,,,,,
2015,140202,140243040,11,21,,,,,,,,,,,,,,,
2015,140202,140243040,12,21,,,,,,,,,,,,,,,
2015,140301,140342003,05,21,,,,,,,,,,,,,,,
2015,140301,140342003,06,21,,,,,,,,,,,,,,,
2015,140301,140342003,07,21,,,,,,,,,,,,,,,
2015,140301,140342003,08,21,,,,,,,,,,,,,,,
2015,140301,140342003,09,21,,,,,,,,,,,,,,,
2015,140301,140342003,10,21,,,,,,,,,,,,,,,
2015,140301,140342003,11,21,,,,,,,,,,,,,,,
2015,140301,140342003,12,21,,,,,,,,,,,,,,,
2015,140409,140442928,05,21,,,,,,,,,,,,,,,
2015,140409,140442928,06,21,,,,,,,,,,,,,,,
2015,140409,140442928,07,21,,,,,,,,,,,,,,,
2015,140409,140442928,08,21,,,,,,,,,,,,,,,
2015,140409,140442928,10,21,,,,,,,,,,,,,,,
2015,140409,140442928,11,21,,,,,,,,,,,,,,,
2015,140409,140442928,12,21,,,,,,,,,,,,,,,
2015,140413,140451310,05,21,,,,,,,,30,,,,,,,
2015,140413,140451310,06,21,,,,,,,30,,,,,,,,
2015,140413,140451310,07,21,,,,,,,30,,,,,,,,
2015,140413,140451310,08,21,,,,,,,,,,,,,,,
2015,140413,140451310,09,21,,,,,,,,,,,,,,,
2015,140413,140451310,10,21,,,,,,,,,,,,,,,
2015,140413,140451310,11,21,,,,,,,,,,,,,,,
2015,140413,140451310,12,21,,,,,,,,,,,,,,,
2015,140414,140441401,05,21,,,,,,,,,,,,,,,
2015,140414,140441401,06,21,,,,,,,,,,,,,,,
2015,140414,140441401,07,21,,,,,,,,,,,,,,,
2015,140414,140441401,08,21,,,,,,,,,,,,,,,
2015,140414,140441401,09,21,,,,,,,,,,,,,,,
2015,140414,140441401,10,21,,,,,,,,,,,,,,,
2015,140414,140441401,11,21,,,,,,,,,,,,,,,
2015,140414,140441401,12,21,,,,,,,,,,,,,,,
2015,210101,210142005,04,21,,,,,,,,,,,,,,,
2015,210101,210142005,05,21,,,,,,,,,,,,,,,
2015,210101,210143014,04,21,,,,,,,,,,,,,,,
2015,210101,210143014,05,21,,,,,,,,,,,,,,,
2015,210101,210143014,07,21,,,,,,,,,,,,,,,
2015,210101,210143014,08,21,,,,,,,,,,,,,,,
2015,210101,210143014,09,21,,,,,,,,,,,,,,,
2015,210101,210143014,10,21,,,,,,,,,,,,,,,
2015,210101,210143014,11,21,,,,,,,,,,,,,,,
2015,210101,210143014,12,21,,,,,,,,,,,,,,,
2015,210202,210251003,05,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,210202,210251003,06,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,210202,210251003,07,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,210202,210251003,08,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,210202,210251003,09,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,210202,210251003,10,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,210202,210251003,11,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,210202,210251003,12,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,210402,210451005,05,21,,,,,,,,,,,,,,,
2015,210402,210451005,07,21,5,,,,,,,,,,,,,30,
2015,210402,210451005,08,21,,,,30,,,30,,,,5,5,,30,
2015,210402,210451005,09,21,,,,,,,5,,,,,,,30,
2015,210402,210451005,10,21,8,,,,,,,,,,5,,,,
2015,210402,210451005,11,21,5,8,5,5,5,5,5,5,5,5,5,5,5,30,
2015,210402,210451005,12,21,,,,,,,,,,,,,,30,
2015,210409,210451017,05,21,,,,,,,,,,,,,,,
2015,210409,210451017,06,21,30,,30,30,,,,,30,,30,,,30,
2015,210409,210451017,07,21,30,,30,30,,,,,30,,,,,30,
2015,210409,210451017,08,21,30,,30,30,,,,,30,,,,,30,
2015,210409,210451017,09,21,30,,30,30,,,,,30,,,,,30,
2015,210410,210442020,10,21,,,,,,,,,,,,,,,
2015,220110,220141016,06,21,30,,,30,,,,,30,,,,,30,
2015,220110,220141016,07,21,30,,,30,,,,,30,,,,,30,
2015,220110,220141016,08,21,30,,,30,,,,,30,,30,,,30,
2015,220110,220141016,09,21,30,,,30,,,,,30,,,,20,30,
2015,220110,220141016,10,21,30,,,30,,,,,30,,,,30,30,
2015,220110,220141016,11,21,30,,,,,,,,,,30,30,,30,
2015,220110,220141016,12,21,30,,,,,,,,,,30,30,,30,
2015,220118,220151026,05,21,,,,,,,,,,,,,,,
2015,220118,220151026,06,21,,,,,,,,,,,,,,,
2015,220118,220151026,07,21,,,,,,,,,,,,,,,
2015,220118,220151026,10,21,,,,,,,,,,,,,,,
2015,220206,220241012,02,21,,,,,,,,,,,,,,,
2015,220206,220241012,03,21,0,0,0,30,0,0,30,0,30,0,0,0,0,0,0
2015,220206,220241012,04,21,0,0,0,30,0,0,30,0,30,0,0,0,0,0,0
2015,220206,220241012,05,21,0,0,0,30,0,0,30,0,30,0,0,0,0,0,0
2015,220206,220241012,06,21,,,,30,,,30,,30,,,,,,
2015,220206,220241012,07,21,0,0,30,30,0,0,30,0,30,30,0,0,0,0,0
2015,220206,220241012,08,21,0,0,0,30,30,0,30,0,30,30,0,0,0,30,0
2015,220206,220241012,09,21,0,0,30,30,30,0,30,0,30,30,0,0,0,30,30
2015,220206,220241012,10,21,0,0,0,30,0,0,30,0,30,0,0,0,0,0,0
2015,220206,220241012,11,21,0,0,0,30,0,0,0,0,30,0,0,0,0,0,0
2015,220206,220241012,12,21,0,0,0,30,0,0,0,0,30,0,30,0,0,0,0
2015,220308,220341011,05,21,,,,,,,,,,30,,,,,
2015,220308,220341011,06,21,,,,,,,,,,,,,,,
2015,220308,220341011,07,21,,30,,,,,,,,30,,,,,30
2015,220308,220341011,08,21,,30,,,,,,,,30,,,,,30
2015,220308,220341011,09,21,,30,,30,,,,,,30,,,,,30
2015,220308,220341011,10,21,,,,,,,,,,30,,30,30,,30
2015,220308,220341011,11,21,,,,,,,30,,,10,,,,,
2015,220308,220341011,12,21,,,,,,,,,,,,,,,
2015,220308,220342018,06,21,,,,,,,,,,,,,,,
2015,220308,220342018,07,21,,,,,,,,,,,,,,,
2015,220308,220342018,08,21,,,,,,,,,,,,,,,
2015,220308,220342018,10,21,,,,,,,,,,,,,,,
2015,220308,220342018,11,21,,,,,,,,,,,,,,,
2015,220308,220342018,12,21,,,,,,,,,,,,,,,
2015,310234,310242042,05,21,,,,,,,,,,,,,,,
2015,310234,310242042,06,21,,,,,,,,,,,,,,,
2015,310234,310242042,08,21,,,,,,,,,,,,,,,
2015,310234,310242042,11,21,,,,,,,,,,,,,,,
2015,330115,330141019,04,21,,,,,,,,,,,,,,,
2015,330115,330141019,05,21,,,,,,,,,,,,,,,
2015,330115,330141019,06,21,,,,,30,,,,30,,6,,30,,
2015,330115,330141019,08,21,,,,,,,,,,,,,,,
2015,330115,330141019,09,21,,,,,30,,,,,,,,30,30,
2015,330115,330141019,10,21,,,,,,,,,,,,,,,
