cAnnee,cCodeNiv,cCodeStru,cPeriode,cTypeRapport,cType,cCode,c$_0028j_M,c$_0028j_F,c$_2911m_M,c$_2911m_F,c$_0104a_M,c$_0104a_F,c$_0514a_M,c$_0514a_F,c$_1524a_M,c$_1524a_F,c$_2559a_M,c$_2559a_F,c$_6099a_M,c$_6099a_F,c$_REF_M,c$_REF_F,c$_Tot_M,c$_Tot_F,c$_Tot_NC
2017,220118,220151026,11,21,60,ANEMGRAV,,,,,,,,,,,,,,,,,,,
2017,220118,220151026,11,21,60,ANEMGRAV,,,,,,,,,,,,,,,,,,,
2017,220118,220151026,11,21,60,ANEMGRAV,,,,,,,,,,,,,,,,,,,
2017,220118,220151026,11,21,60,ANEMGRAV,,,,,,,,,,,,,,,,,,,
2017,220118,220151026,11,21,60,ANEMGRAV,,,,,,,,,,,,,,,,,,,
2017,220118,220151026,11,21,60,ANEMGRAV,,,,,,,,,,,,,,,,,,,
2017,220118,220151026,11,21,60,ANEMGRAV,,,,,,,,,,,,,,,,,,,
2017,220118,220151026,11,21,60,ANEMGRAV,,,,,,,,,,,,,,,,,,,
2017,220118,220151026,11,21,60,ANEMIE,,,,,,,2,,,1,1,,,,,,3,1,4
2017,220118,220151026,11,21,60,ASTH,,,,,,,,,,,,,1,2,,,1,2,3
2017,220118,220151026,11,21,60,AUTEPID,,,,,,,,,,,,,,,,,,,
2017,220118,220151026,11,21,60,AUTFH,,,,,,,,,,,,,,,,,,,
2017,220118,220151026,11,21,60,AUTIRA,1,1,2,3,2,1,,2,1,,,,,1,,,6,8,14
2017,220118,220151026,11,21,60,AUTRESNC,,,,,,,,,,,,,,,,,,,
2017,220118,220151026,11,21,60,AVC,,,,,,,,,,,,,,,,,,,
2017,220118,220151026,11,21,60,CARIES,,,,,,,1,3,1,2,1,,,,,,3,5,8
2017,220118,220151026,11,21,60,COQ,,,,,,,,,,,,,,,,,,,
2017,220118,220151026,11,21,60,DEFAUD,,,,,,,,,,,,,,,,,,,
2017,220118,220151026,11,21,60,DEFVISU,,,,,,,,,,,,,1,1,1,1,1,1,2
2017,220118,220151026,11,21,60,DIAR,,,,1,1,,1,,,,,,,,,,2,1,3
2017,220118,220151026,11,21,60,DIPHT,,,,,,,,,,,,,,,,,,,
2017,220118,220151026,11,21,60,EG,,,,,,,,,2,2,,,,,,,2,2,4
2017,220118,220151026,11,21,60,EPIL,,,,,,,1,,2,2,1,,,,,,4,2,6
2017,220118,220151026,11,21,60,HTA,,,,,,,,,,,1,2,,1,,,1,3,4
2017,220118,220151026,11,21,60,HYDROC,,,,,,,,,,,,,,,,,,,
2017,220118,220151026,11,21,60,ICAM,,,,,,,,,,,,,,,,,,,
2017,220118,220151026,11,21,60,INFVIH,,,,,,,,,,,,,,,,,,,
2017,220118,220151026,11,21,60,INSUFPOND,,,,,,,,,,,,,,,,,,,
2017,220118,220151026,11,21,60,LESKCCOL,,,,,,,,,,,,,,,,,,,
2017,220118,220151026,11,21,60,LMB,,,,,,,,,,,,,,,,,,,
2017,220118,220151026,11,21,60,LMBDEG2,,,,,,,,,,,,,,,,,,,
2017,220308,220342018,01,21,60,OEILRNTNC,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220342018,01,21,60,OEILRT,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220342018,01,21,60,OTITE,,,,,,,,1,,,2,,,,,,2,1,3
2017,220308,220342018,01,21,60,PALU_FE,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220342018,01,21,60,PALU_G,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220342018,01,21,60,PALU_S,,,,,,,,,,1,1,,,,,,1,1,2
2017,220308,220342018,01,21,60,PESTE,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220342018,01,21,60,PFA,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220342018,01,21,60,PNEU,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220342018,01,21,60,RETCROIS,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220342018,01,21,60,SGDANG,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220342018,01,21,60,SUSPARBO,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220342018,01,21,60,SUSPCATA,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220342018,01,21,60,SUSPDIAB,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220342018,01,21,60,SUSPDREPA,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220342018,01,21,60,SUSPFVR,,,,,,,,,,,,,,,,,0,0,0
2017,220308,220342018,01,21,60,SUSPGRIP,,,,,3,1,4,3,,3,1,,,,,,8,7,15
2017,220308,220342018,01,21,60,SUSPMENING,,,,,,,,,,,,,,,,,0,0,0
