cAnnee,cCodeNiv,cCodeStru,cPeriode,cTypeRapport,cType,cCode,c$_0014j_M,c$_0014j_F,c$_1517a_M,c$_1517a_F,c$_1824a_M,c$_1824a_F,c$_2559a_M,c$_2559a_F,c$_6099a_M,c$_6099a_F,c$_REF_M,c$_REF_F,c$_Tot_M,c$_Tot_F,c$_Tot_NC
2015,210101,210142013,06,21,50,AUTVIOL,,,,,,,,,,,,,,,
2015,210101,210142013,06,21,50,SUICIDE,,,,,,,,,,,,,,,
2015,210101,210142013,06,21,50,VICTAC,,,,,,,,,,,,,,,
2015,210101,210142013,06,21,50,VICTAT,,,,,,,,,,,,,,,
2015,210101,210142013,06,21,50,VIOLSEX,,,,,,,,,,,,,,,
2015,210101,210142013,05,21,50,AUTVICTRAU,,,,,,,,,,,,,,,
2015,210101,210142013,05,21,50,AUTVIOL,,,,,,,,,,,,,,,
2015,210101,210142013,05,21,50,SUICIDE,,,,,,,,,,,,,,,
2015,210101,210142013,05,21,50,VICTAC,,,,,,,,,,,,,,,
2015,210101,210142013,05,21,50,VICTAT,,,,,,,,,,,,,,,
2015,210101,210142013,05,21,50,VIOLSEX,,,,,,,,,,,,,,,
2015,210101,210142013,04,21,50,AUTVICTRAU,,,,,,,,,,,,,,,
2015,210101,210142013,04,21,50,AUTVIOL,,,,,,,,,,,,,,,
2015,210101,210142013,04,21,50,SUICIDE,,,,,,,,,,,,,,,
2015,210101,210142013,04,21,50,VICTAC,,,,,,,,,,,,,,,
2015,210101,210142013,04,21,50,VICTAT,,,,,,,,,,,,,,,
2015,210101,210142013,04,21,50,VIOLSEX,,,,,,,,,,,,,,,
2015,210101,210142013,08,21,50,AUTVICTRAU,,,,,,,,,,,,,,,
2015,210101,210142013,08,21,50,AUTVIOL,,,,,,,,,,,,,,,
2015,210101,210142013,08,21,50,SUICIDE,,,,,,,,,,,,,,,
2015,210101,210142013,08,21,50,VICTAC,,,,,,,,,,,,,,,
2015,210101,210142013,08,21,50,VICTAT,,,,,,,,,,,,,,,
2015,210101,210142013,08,21,50,VIOLSEX,,,,,,,,,,,,,,,
2015,210101,210142013,07,21,50,AUTVICTRAU,,,,,,,,,,,,,,,
2015,210101,210142013,07,21,50,AUTVIOL,,,,,,,,,,,,,,,
2015,210101,210142013,07,21,50,SUICIDE,,,,,,,,,,,,,,,
2015,210101,210142013,07,21,50,VICTAC,,,,,,,,,,,,,,,
2015,210101,210142013,07,21,50,VICTAT,,,,,,,,,,,,,,,
2015,210101,210142013,07,21,50,VIOLSEX,,,,,,,,,,,,,,,
2015,210101,210142013,06,21,50,AUTVICTRAU,,,,,,,,,,,,,,,
2015,210101,210142013,10,21,50,AUTVICTRAU,,,,,,,,,,,,,,,
2015,210101,210142013,10,21,50,AUTVIOL,,,,,,,,,,,,,,,
2015,210101,210142013,10,21,50,SUICIDE,,,,,,,,,,,,,,,
2015,210101,210142013,10,21,50,VICTAC,,,,,,,,,,,,,,,
2015,210101,210142013,10,21,50,VICTAT,,,,,,,,,,,,,,,
2015,210101,210142013,10,21,50,VIOLSEX,,,,,,,,,,,,,,,
2015,210101,210142013,09,21,50,AUTVICTRAU,,,,,,,,,,,,,,,
2015,210101,210142013,09,21,50,AUTVIOL,,,,,,,,,,,,,,,
2015,210101,210142013,09,21,50,SUICIDE,,,,,,,,,,,,,,,
2015,210101,210142013,09,21,50,VICTAC,,,,,,,,,,,,,,,
2015,210101,210142013,09,21,50,VICTAT,,,,,,,,,,,,,,,
2015,210101,210142013,09,21,50,VIOLSEX,,,,,,,,,,,,,,,
2015,210101,210142013,11,21,50,AUTVICTRAU,,,,,,,,,,,,,,,
2015,210101,210142013,11,21,50,AUTVIOL,,,,,,,,,,,,,,,
2015,210101,210142013,11,21,50,SUICIDE,,,,,,,,,,,,,,,
2015,210101,210142013,11,21,50,VICTAC,,,,,,,,,,,,,,,
2015,210101,210142013,11,21,50,VICTAT,,,,,,,,,,,,,,,
2015,210101,210142013,11,21,50,VIOLSEX,,,,,,,,,,,,,,,
2016,320209,320251029,02,21,50,AUTVICTRAU,1,,,,1,,2,,,,,,4,0,4
2016,320209,320251029,02,21,50,AUTVIOL,,,,,,,,,,,,,,,
2016,320209,320251029,02,21,50,SUICIDE,,,,,,,,,,,,,,,
2016,320209,320251029,02,21,50,VICTAC,,,,,,,,,,,,,,,
2016,320209,320251029,02,21,50,VICTAT,,,,,,,,,,,,,,,
2016,320209,320251029,02,21,50,VIOLSEX,,,,,,,,,,,,,,,
2016,320209,320251029,03,21,50,AUTVICTRAU,,,,,1,,2,,,,,,3,,3
2016,320209,320251029,03,21,50,AUTVIOL,,,,,,,,,,,,,,,
2016,320209,320251029,03,21,50,SUICIDE,,,,,,,,,,,,,,,
2016,320209,320251029,03,21,50,VICTAC,,,,,,,,,,,,,,,
2016,320209,320251029,03,21,50,VICTAT,,,,,,,,,,,,,,,
2016,320209,320251029,03,21,50,VIOLSEX,,,,,,,,,,,,,,,
2016,320209,320251029,06,21,50,AUTVICTRAU,,,,,2,,1,,,,,,3,,3
2016,320209,320251029,06,21,50,AUTVIOL,,,,,,,,,,,,,,,
2016,320209,320251029,06,21,50,SUICIDE,,,,,,,,,,,,,,,
2016,320209,320251029,06,21,50,VICTAC,,,,,,,,,,,,,,,
2016,320209,320251029,06,21,50,VICTAT,,,,,,,,,,,,,,,
2016,320209,320251029,06,21,50,VIOLSEX,,,,,,,,,,,,,,,
2016,320209,320251029,05,21,50,AUTVICTRAU,,,,,,,1,1,,,,,1,1,2
2016,320209,320251029,05,21,50,AUTVIOL,,,,,,,,,,,,,,,
2016,320209,320251029,05,21,50,SUICIDE,,,,,,,,,,,,,,,
2016,320209,320251029,05,21,50,VICTAC,,,,,,,,,,,,,,,
2016,320209,320251029,05,21,50,VICTAT,,,,,,,,,,,,,,,
2016,320209,320251029,05,21,50,VIOLSEX,,,,,,,,,,,,,,,
2016,320209,320251029,09,21,50,AUTVICTRAU,,,,,1,,1,,,,,,2,,2
2016,320209,320251029,09,21,50,AUTVIOL,,,,,,,,,,,,,,,
2016,320209,320251029,09,21,50,SUICIDE,,,,,,,,,,,,,,,
2016,320209,320251029,09,21,50,VICTAC,,,,,,,,,,,,,,,
2016,320209,320251029,09,21,50,VICTAT,,,,,,,,,,,,,,,
2016,320209,320251029,09,21,50,VIOLSEX,,,,,,,,,,,,,,,
2016,320209,320251029,08,21,50,AUTVICTRAU,,,,,,1,1,,,,,,1,1,2
2016,320209,320251029,08,21,50,AUTVIOL,,,,,,,,,,,,,,,
2016,320209,320251029,08,21,50,SUICIDE,,,,,,,,,,,,,,,
2016,320209,320251029,08,21,50,VICTAC,,,,,,,,,,,,,,,
2016,320209,320251029,08,21,50,VICTAT,,,,,,,,,,,,,,,
