cAnnee,cCodeNiv,cCodeStru,cPeriode,cTypeRapport,cTOT_CONS_NC,cTOT_CONS,cTOT_ORD_PRES,cORD_SERV,cORD_FACT,cBS
2015,110101,110141002,04,21,575,575,575,570,570,
2015,110101,110141002,05,21,476,476,,,,
2015,110101,110141002,06,21,698,698,698,698,698,
2015,110101,110141002,07,21,759,759,,,,
2015,110101,110141002,08,21,548,556,556,556,556,
2015,110101,110141002,09,21,596,597,597,597,597,
2015,110101,110141002,10,21,514,526,526,526,526,
2015,110101,110141002,11,21,754,763,763,763,763,
2015,110101,110141002,12,21,793,793,793,793,793,
2015,110101,110143033,04,21,450,1154,1154,704,,
2015,110101,110143033,05,21,447,447,,,,
2015,110101,110143033,06,21,385,1256,1256,,,
2015,110101,110143033,07,21,678,1139,,,,
2015,110101,110143033,08,21,521,1192,,,,
2015,110101,110143033,09,21,755,1237,,,,
2015,110101,110143033,10,21,650,1188,,,,
2015,110101,110143033,11,21,728,1236,,,,
2015,110101,110143033,12,21,803,1184,,,,
2015,110102,110143046,08,21,72,92,,,,
2015,110102,110143046,09,21,87,98,,,,
2015,110102,110143046,10,21,81,101,,,,
2015,110102,110143046,11,21,91,100,,,,
2015,110102,110143046,12,21,88,110,,,,
2015,110103,110142066,04,21,15,20,,,,
2015,110103,110142066,05,21,10,22,,,,
2015,110103,110142066,06,21,12,15,15,,,
2015,110103,110142066,07,21,12,14,,,,
2015,110103,110142066,08,21,14,16,,,,
2015,110103,110142066,09,21,14,20,,,,
2015,110103,110142066,10,21,18,22,,,,
2015,110103,110142066,11,21,9,13,,,,
2015,110103,110142066,12,21,13,16,,,,
2015,110105,110142111,04,21,802,842,787,780,780,
2015,110105,110142111,05,21,720,776,717,,,
2015,110105,110142111,06,21,699,767,707,,,
2015,110105,110142111,07,21,733,769,,,,
2015,110105,110142111,08,21,687,723,,,,
2015,110105,110142111,09,21,769,823,,,,
2015,110105,110142111,10,21,772,931,,,,
2015,110105,110142111,11,21,943,994,,,,
2015,110105,110142111,12,21,757,837,,,,
2015,110218,110243042,04,21,14,42,,,,
2015,110218,110243042,05,21,35,56,,,,
2015,110218,110243042,06,21,35,48,,,,
2015,110218,110243042,07,21,36,55,,,,
2015,110218,110243042,08,21,35,36,,,,
2015,110218,110243042,09,21,58,59,,,,
2015,110218,110243042,10,21,67,68,,,,
2015,110218,110243042,11,21,58,58,,,,
2015,110218,110243042,12,21,55,56,,,,
2015,110218,110243068,04,21,125,145,142,,,
2015,110218,110243068,05,21,,,,,,
2015,110218,110243068,06,21,134,134,,,,
2015,110218,110243068,07,21,,,,,,
2015,110218,110243068,08,21,92,92,,,,
2015,110218,110243068,09,21,104,104,,,,
2015,110218,110243068,10,21,119,119,,,,
2015,110218,110243068,11,21,,,,,,
2015,110218,110243068,12,21,,,,,,
2015,110301,110343013,04,21,745,745,,,,
2015,110301,110343013,05,21,786,813,,,,
2015,110301,110343013,06,21,800,853,,,,
2015,110301,110343013,07,21,1170,1235,1205,,,
2015,110301,110343013,09,21,370,477,,,,
2015,110301,110343013,10,21,516,639,,,,
2015,110301,110343013,11,21,571,678,,,,
2015,110301,110343013,12,21,609,738,,,,
2015,110301,110343045,04,21,390,394,,,,
2015,110301,110343045,05,21,420,438,438,,,
2015,110301,110343045,06,21,272,286,,,,
2015,110301,110343045,07,21,726,756,521,,,
2015,110301,110343045,08,21,427,434,,,,
2015,110301,110343045,09,21,663,686,,,,
2015,110301,110343045,10,21,1206,1206,,,,
2015,110301,110343045,11,21,421,518,,,,
2015,110301,110343045,12,21,402,414,,,,
2015,110302,110342010,04,21,47,65,,,,
2015,110302,110342010,05,21,41,60,,,,
2015,110302,110342010,06,21,29,43,,,,
2015,110302,110342010,07,21,,,,,,
2015,110302,110342010,08,21,,,,,,
2015,110302,110342010,09,21,36,60,,,,
2015,110302,110342010,10,21,49,70,,,,
2015,110302,110342010,11,21,35,45,,,,
2015,110302,110342010,12,21,54,70,,,,
2015,110303,110342007,04,21,150,168,,,,
2015,110303,110342007,05,21,79,148,,,,
2015,110303,110342007,06,21,121,155,,,,
2015,110303,110342007,07,21,150,171,,,,
2015,110303,110342007,09,21,129,159,,,,
2015,110303,110342007,10,21,150,,,,,
2015,110303,110342007,11,21,130,177,,,,
2015,110303,110342008,04,21,267,268,,,,
2015,110303,110342008,05,21,235,308,,,,
2015,110303,110342008,06,21,238,312,,,,
2015,110303,110342008,07,21,224,321,,,,
2015,110303,110342008,08,21,217,305,,,,
2015,110303,110342008,09,21,225,306,,,,
2015,110303,110342008,10,21,323,399,,,,
2015,110303,110342008,11,21,298,367,,,,
2015,110303,110342008,12,21,349,419,,,,
2015,110303,110343009,04,21,13,45,,,,
2015,110303,110343009,05,21,16,46,,,,
2015,110303,110343009,06,21,24,57,,,,
2015,110303,110343009,07,21,16,59,,,,
2015,110303,110343009,08,21,34,80,,,,
2015,110303,110343009,09,21,26,38,,,,
2015,110303,110343009,10,21,17,63,,,,
2015,110303,110343009,11,21,20,51,,,,
2015,110303,110343009,12,21,57,71,,,,
2015,110305,110342016,04,21,900,1105,,,,
2015,110305,110342016,05,21,1252,1252,,,,
2015,110305,110342016,06,21,1383,1401,,,,
2015,110305,110342016,07,21,1222,1231,1225,,,
2015,110305,110342016,08,21,715,1014,,,,
2015,110305,110342016,09,21,859,905,,,,
2015,110305,110342016,10,21,1110,1134,,,,
2015,110305,110342016,11,21,1421,1465,,,,
2015,110305,110342016,12,21,1565,1587,,,,
2015,110305,110342022,04,21,116,136,,,,
2015,110305,110342022,05,21,144,153,,,,
2015,110305,110342022,06,21,87,95,,,,
2015,110305,110342022,07,21,,,,,,
2015,110305,110342022,08,21,128,142,,,,
2015,110305,110342022,09,21,165,174,,,,
2015,110305,110342022,10,21,150,168,,,,
2015,110305,110342022,11,21,118,118,,,,
2015,110305,110343014,04,21,78,91,,,,
2015,110305,110343014,06,21,84,93,,,,
2015,110305,110343014,07,21,81,90,,,,
2015,110305,110343014,08,21,77,95,,,,
2015,110305,110343014,09,21,64,80,,,,
2015,110305,110343014,10,21,109,122,,,,
2015,110305,110343014,11,21,66,72,,,,
2015,110305,110343014,12,21,101,115,,,,
2015,110305,110343015,04,21,162,162,,,,
2015,110305,110343015,06,21,59,137,,,,
2015,110305,110343015,07,21,161,175,,,,
2015,110305,110343015,08,21,79,182,,,,
2015,110305,110343015,09,21,138,149,,,,
2015,110305,110343015,10,21,178,180,,,,
2015,110305,110343015,11,21,195,214,,,,
2015,110305,110343015,12,21,236,244,,,,
2015,110305,110353017,04,21,133,138,,,,
2015,110305,110353017,05,21,112,122,,,,
2015,110305,110353017,06,21,113,113,,,,
2015,110305,110353017,07,21,87,123,,,,
2015,110305,110353017,10,21,56,56,,,,
2015,110305,110353017,11,21,352,352,,,,
2015,110305,110353017,12,21,184,200,,,,
2015,110306,110342024,04,21,151,184,,,,
2015,110306,110342024,05,21,140,180,,,,
2015,110306,110342024,06,21,84,196,,,,
2015,110306,110342024,07,21,156,189,,,,
2015,110306,110342024,08,21,156,192,,,,
2015,110306,110342024,09,21,213,273,,,,
2015,110306,110342024,10,21,167,207,,,,
2015,110306,110342024,11,21,154,191,176,,,
2015,110307,110342029,04,21,5648,5651,,,,
2015,110307,110342029,05,21,2157,3251,,,,
2015,110307,110342029,06,21,3037,3751,,,,
2015,110307,110342029,07,21,2860,3935,2860,,,
2015,110307,110342029,08,21,2068,4082,,,,
2015,110307,110342029,09,21,2652,4050,,,,
2015,110307,110342029,10,21,2319,4008,,,,
2015,110307,110342029,11,21,2813,4413,,,,
2015,110307,110342029,12,21,2866,4417,,,,
2015,110307,110342030,04,21,45,45,,,,
2015,110307,110342030,05,21,53,58,,,,
2015,110307,110342030,06,21,56,77,,,,
2015,110307,110342030,07,21,79,88,,,,
2015,110307,110342030,08,21,104,104,,,,
2015,110307,110342030,09,21,71,74,,,,
2015,110307,110342030,10,21,96,98,,,,
2015,110307,110342030,11,21,131,137,,,,
2015,110307,110342030,12,21,70,70,,,,
2015,110307,110342062,04,21,132,133,,,,
2015,110307,110342062,05,21,73,73,,,,
2015,110307,110342062,06,21,101,101,,,,
2015,110307,110342062,07,21,84,123,85,,,
2015,110307,110342062,08,21,112,127,,,,
2015,110307,110342062,09,21,116,127,,,,
2015,110307,110342062,10,21,116,131,,,,
2015,110307,110342062,11,21,116,128,,,,
2015,110307,110342062,12,21,103,112,,,,
2015,110307,110343026,04,21,153,154,,,,
2015,110307,110343026,05,21,123,124,,,,
2015,110307,110343026,06,21,212,229,,,,
2015,110307,110343026,07,21,197,207,,,,
2015,110307,110343026,08,21,188,201,,,,
2015,110307,110343026,09,21,201,216,,,,
2015,110307,110343026,10,21,239,249,,,,
2015,110307,110343026,11,21,222,242,,,,
2015,110307,110343026,12,21,294,305,,,,
2015,110307,110343027,04,21,239,240,,,,
2015,110307,110343027,05,21,177,189,,,,
2015,110307,110343027,06,21,184,184,,,,
2015,110307,110343027,07,21,97,184,,,,
2015,110307,110343027,08,21,192,192,,,,
2015,110307,110343027,09,21,179,182,,,,
2015,110307,110343027,10,21,189,190,,,,
2015,110307,110343027,11,21,160,160,,,,
2015,110307,110343027,12,21,288,289,,,,
2015,110307,110343058,04,21,125,163,,,,
2015,110307,110343058,05,21,234,234,,,,
2015,110307,110343058,06,21,157,200,,,,
2015,110307,110343058,07,21,108,149,149,,,
2015,110307,110343058,08,21,129,213,,,,
2015,110307,110343058,09,21,106,156,,,,
2015,110307,110343058,10,21,155,212,,,,
2015,110307,110343058,11,21,107,123,,,,
2015,110307,110343059,04,21,46,48,,,,
2015,110307,110343059,05,21,36,52,52,,,
2015,110307,110343059,07,21,38,57,57,,,
2015,110307,110343059,08,21,,,,,,
2015,110307,110343059,09,21,40,58,,,,
2015,110307,110343059,10,21,41,62,,,,
2015,110307,110343059,11,21,28,38,,,,
2015,110307,110343059,12,21,14,18,,,,
2015,110307,110343063,04,21,27,29,,,,
2015,110307,110343063,05,21,26,26,26,,,
2015,110307,110343063,06,21,28,38,,,,
2015,110307,110343063,07,21,45,45,43,,,
2015,110307,110343063,08,21,40,41,,,,
2015,110307,110343063,09,21,41,41,40,32,,
2015,110307,110343063,10,21,47,48,,,,
2015,110307,110343063,11,21,30,30,,,,
2015,110307,110343063,12,21,36,36,,,,
2015,110310,110343036,04,21,100,660,,,,
2015,110310,110343036,05,21,43,43,43,43,,
2015,110310,110343036,06,21,54,54,43,40,,
2015,110310,110343036,07,21,107,107,63,60,,
2015,110310,110343036,08,21,111,111,,,,
2015,110310,110343036,09,21,54,56,,0,,
2015,110310,110343036,10,21,90,93,62,62,62,
2015,110310,110343036,11,21,56,56,43,43,43,
2015,110310,110343036,12,21,61,63,61,61,61,
2015,110311,110343039,04,21,110,124,,,,
2015,110311,110343039,05,21,97,115,,,,
2015,110311,110343039,06,21,97,97,,,,
2015,110311,110343039,07,21,115,125,,,,
2015,110311,110343039,08,21,105,105,,,,
2015,110311,110343039,09,21,88,90,,,,
2015,110311,110343039,10,21,105,105,,,,
2015,110311,110343039,11,21,111,120,,,,
2015,110312,110342042,04,21,25,80,,,,
2015,110312,110342042,05,21,37,75,,,,
2015,110312,110342042,06,21,38,65,,,,
2015,110312,110342042,07,21,74,85,,,,
2015,110312,110342042,08,21,74,85,,,,
2015,110312,110342042,09,21,0,70,,,,
2015,110312,110342042,10,21,64,65,,,,
2015,110312,110342042,11,21,107,115,,,,
2015,110312,110342042,12,21,83,100,,,,
2015,110312,110342046,04,21,100,108,,,,
2015,110312,110342046,05,21,104,109,,,,
2015,110312,110342046,06,21,103,107,,,,
2015,110312,110342046,07,21,127,133,,,,
2015,110312,110342046,08,21,112,118,,,,
2015,110312,110342046,09,21,41,45,,,,
2015,110312,110342046,10,21,42,76,,,,
2015,110312,110342046,11,21,92,97,,,,
2015,110312,110342047,05,21,131,144,,,,
2015,110312,110342047,06,21,115,135,,,,
2015,110312,110342047,07,21,106,128,,,,
2015,110312,110342047,08,21,168,178,,,,
2015,110312,110342047,09,21,92,127,,,,
2015,110312,110342047,10,21,57,67,,,,
2015,110312,110342047,11,21,169,169,,,,
2015,110312,110342047,12,21,174,192,,,,
2015,110312,110342048,05,21,67,67,,,,
2015,110312,110342048,06,21,89,96,,,,
2015,110312,110342048,07,21,120,125,91,,,
2015,110312,110342048,08,21,32,33,33,,,
2015,110312,110342048,09,21,45,50,,,,
2015,110312,110342048,10,21,59,59,,,,
2015,110312,110342048,11,21,42,42,,,,
2015,110312,110342048,12,21,68,68,,,,
2015,110312,110342049,04,21,205,211,,,,
2015,110312,110342049,05,21,226,245,,,,
2015,110312,110342049,06,21,253,264,,,,
2015,110312,110342049,07,21,259,266,,,,
2015,110312,110342049,08,21,256,264,,,,
2015,110312,110342049,09,21,138,143,,,,
2015,110312,110342049,10,21,290,325,,,,
2015,110312,110342049,11,21,309,326,,,,
2015,110312,110342049,12,21,288,307,,,,
2015,110312,110342057,04,21,119,140,,,,
2015,110312,110342057,05,21,94,122,,,,
2015,110312,110342057,06,21,98,120,,,,
2015,110312,110342057,07,21,70,92,,,,
2015,110312,110342057,08,21,83,90,,,,
2015,110312,110342057,09,21,61,110,,,,
2015,110312,110342057,10,21,43,115,,,,
2015,110312,110342057,11,21,138,189,,,,
2015,110312,110342057,12,21,117,145,,,,
2015,110312,110343043,04,21,273,273,,,,
2015,110312,110343043,05,21,244,244,257,,,
2015,110312,110343043,06,21,202,202,,,,
2015,110312,110343043,07,21,201,226,226,,,
2015,110312,110343043,08,21,233,233,,,,
2015,110312,110343043,09,21,270,275,,,,
2015,110312,110343043,10,21,237,237,,,,
2015,110312,110343043,11,21,233,233,,,,
2015,110312,110343043,12,21,141,275,,,,
2015,110312,110343044,04,21,67,70,,,,
2015,110312,110343044,05,21,44,46,46,,,
2015,110312,110343044,06,21,30,35,,,,
2015,110312,110343044,07,21,37,41,,,,
2015,110312,110343044,08,21,25,35,,,,
2015,110312,110343044,09,21,37,40,,,,
2015,110312,110343044,10,21,53,58,,,,
2015,110312,110343044,11,21,40,45,,,,
2015,110312,110343044,12,21,54,60,,,,
2015,110312,110343060,04,21,59,79,,,,
2015,110312,110343060,05,21,64,102,,,,
2015,110312,110343060,06,21,52,117,,,,
2015,110312,110343060,07,21,30,97,,,,
2015,110312,110343060,08,21,30,97,,,,
2015,110312,110343060,09,21,58,126,,,,
2015,110312,110343060,10,21,90,179,,,,
2015,110312,110343060,11,21,73,173,,,,
2015,110312,110343060,12,21,31,146,,,,
2015,110312,110343061,04,21,115,130,,,,
2015,110312,110343061,05,21,165,193,160,103,,
2015,110312,110343061,06,21,107,145,,,,
2015,110312,110343061,07,21,184,194,184,,,
2015,110312,110343061,08,21,124,139,,,,
2015,110312,110343061,09,21,120,148,,,,
2015,110312,110343061,10,21,129,166,,,,
2015,110312,110343061,11,21,158,456,,,,
2015,110312,110343061,12,21,130,152,,,,
2015,110313,110342018,04,21,121,166,,,,
2015,110313,110342018,05,21,100,140,,,,
2015,110313,110342018,06,21,107,152,,,,
2015,110313,110342018,07,21,128,174,,,,
2015,110313,110342018,08,21,118,154,,,,
2015,110313,110342018,09,21,103,148,,,,
2015,110313,110342018,10,21,110,145,,,,
2015,110313,110342018,11,21,140,185,,,,
2015,110313,110342018,12,21,138,184,,,,
2015,110313,110342019,04,21,216,216,,,,
2015,110313,110342019,05,21,196,197,,,,
2015,110313,110342020,04,21,102,115,,,,
2015,110313,110342020,05,21,91,120,,,,
2015,110313,110342020,06,21,88,99,,,,
2015,110313,110342020,07,21,144,144,118,,,
2015,110313,110342020,08,21,74,74,,,,
2015,110313,110342020,09,21,87,93,,,,
2015,110313,110342020,10,21,121,121,,,,
2015,110313,110342020,11,21,163,165,,,,
2015,110313,110342020,12,21,81,99,,,,
2015,110412,110442032,05,21,,,,,,
2015,110412,110442032,06,21,616,926,926,926,,
2015,110412,110442032,07,21,493,953,953,953,0,0
2015,110412,110442032,08,21,560,1095,1095,252,170,82
2015,110412,110442032,09,21,609,1081,741,169,169,
2015,110412,110442032,10,21,582,1151,,,,
2015,110412,110442032,11,21,599,1139,1139,,,
2015,110505,110551029,04,21,104,105,104,104,104,0
2015,110505,110551029,05,21,43,49,49,49,49,0
2015,110505,110551029,07,21,103,106,106,106,106,0
2015,110604,110642036,04,21,30,30,30,0,0,0
2015,110604,110642036,05,21,168,168,168,,,
2015,110604,110642036,06,21,99,99,99,,,
2015,110604,110642036,07,21,28,28,28,,,
2015,110604,110642036,08,21,24,24,24,,,
2015,110604,110642036,09,21,6,6,6,,,
2015,110604,110642036,10,21,3,3,3,3,,
2015,110604,110642036,11,21,13,13,13,0,0,0
2015,120111,120143053,07,21,118,118,,,,
2015,120111,120143053,08,21,64,64,,,,
2015,120111,120143053,09,21,31,31,,,,
2015,120111,120143053,10,21,108,109,109,,,
2015,120111,120143053,11,21,103,110,110,,,
2015,120111,120143053,12,21,71,71,71,71,71,
2015,120113,120141044,07,21,156,158,145,45,45,
2015,120113,120141044,08,21,118,122,120,14,14,
2015,120113,120141044,09,21,111,111,105,,,
2015,120113,120141044,10,21,104,106,96,6,6,
2015,120113,120141044,11,21,35,35,32,6,5,
2015,120113,120141044,12,21,95,96,69,65,65,
2015,120118,120143014,07,21,18,20,20,,,
2015,120118,120143014,08,21,20,20,20,,,
2015,130213,130243024,07,21,145,145,,,,
2015,130213,130243024,08,21,152,152,,,,
2015,130213,130243024,09,21,129,130,,,,
2015,130213,130243024,11,21,124,124,,,,
2015,130213,130243024,12,21,146,146,,,,
2015,130305,130342008,08,21,288,288,288,288,288,0
2015,130305,130342008,10,21,398,398,398,398,398,0
2015,130305,130342008,11,21,530,530,530,530,529,1
2015,140101,140142019,04,21,1459,1707,,,,
2015,140101,140142019,05,21,1455,1669,,,,
2015,140101,140142019,06,21,1338,1398,,,,
2015,140101,140142019,07,21,1275,1443,,,,
2015,140101,140142019,08,21,1481,1675,,,,
2015,140101,140142019,09,21,1594,1795,,,,
2015,140101,140142019,10,21,1500,1639,,,,
2015,140101,140142019,11,21,1330,1526,,,,
2015,140101,140142019,12,21,1222,1297,,,,
2015,140101,140142028,04,21,,,,,,
2015,140101,140142028,05,21,69,90,,,,
2015,140101,140142028,06,21,70,100,,,,
2015,140101,140142028,07,21,90,100,,,,
2015,140101,140142028,08,21,47,70,,,,
2015,140101,140142028,09,21,40,50,,,,
