cAnnee,cCodeNiv,cCodeSTru,cPeriode,cTypeRapport,c0211m_PALU_FIEV,c0211m_PALU_RDTE,c0211m_PALU_RDTP,c0211m_PALU_ACT,c0105a_PALU_FIEV,c0105a_PALU_RDTE,c0105a_PALU_RDTP,c0105a_PALU_ACT,c0613a_PALU_FIEV,c0613a_PALU_RDTE,c0613a_PALU_RDTP,c0613a_PALU_ACT,c1499a_PALU_FIEV,c1499a_PALU_RDTE,c1499a_PALU_RDTP,c1499a_PALU_ACT,cTOTAL_PALU_FIEV,cTOTAL_PALU_RDTE,cTOTAL_PALU_RDTP,cTOTAL_PALU_ACT,cNBFEIVA_KCCOL_DEP,cNBFEIVA_KCCOL_IVAP,cNBFEIVA_KCCOL_IVAT,cNC0005a_DIAR,cPCIME_NC_DIA_ZSRO,cNC0005a_PNEU,cPCIME_NC_PN_AMOX
2015,110101,110141002,04,21,22,22,,,24,24,,,6,6,,,3,3,,,55,55,,,5,,,22,4,,
2015,110101,110141002,05,21,5,5,,,12,12,,,1,1,,,,,,,18,18,,,5,,,7,7,,
2015,110101,110141002,06,21,16,15,,,21,20,,,5,5,,,,,,,42,40,,,5,,,39,36,,
2015,110101,110141002,07,21,15,15,,,23,23,,,7,7,,,,,,,45,45,,,5,1,1,,,,
2015,110101,110141002,08,21,8,8,,,23,23,,,1,1,,,4,4,,,36,36,,,2,,,9,6,,
2015,110101,110141002,09,21,12,12,,,20,20,,,4,4,,,,,,,36,36,,,4,,,23,16,,
2015,110101,110141002,10,21,6,6,,,13,13,,,1,1,,,1,1,,,21,21,,,4,,,6,6,,
2015,110101,110141002,11,21,16,16,,,46,46,1,1,6,6,,,2,2,,,70,70,1,1,12,1,1,43,43,,
2015,110101,110141002,12,21,25,25,,,48,48,,,4,4,,,1,1,,,78,78,,,4,,,,,,
2015,110102,110143046,08,21,,,,,,,,,,,,,5,5,,,5,5,,,,,,,,,
2015,110102,110143046,09,21,,,,,2,,,,1,,,,4,3,,,7,3,,,,,,,,,
2015,110102,110143046,10,21,1,,,,,,,,,,,,3,3,1,,4,3,1,,,,,,,,
2015,110102,110143046,11,21,,,,,1,1,,,1,1,,,2,2,1,1,4,4,1,1,,,,,,,
2015,110102,110143046,12,21,1,,,,4,,,,2,1,,,5,2,,,12,3,,,,,,,,,
2015,110103,110142066,05,21,,,,,,,,,,,,,,,,,,,,,,,,1,1,,
2015,110103,110142066,06,21,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110103,110142066,09,21,,,,,,,,,,,,,3,3,,,3,3,,,,,,,,,
2015,110103,110142066,11,21,,,,,,,,,2,2,,,,,,,2,2,,,,,,,,,
2015,110103,110142066,12,21,,,,,1,1,,,,,,,1,1,,,2,2,,,,,,,,,
2015,110105,110142111,04,21,52,,,,21,,,,10,,,,18,2,1,1,101,2,1,1,,,,41,35,,
2015,110105,110142111,05,21,,,,,,,,,,,,,,,,,,,,,,,,28,28,1,
2015,110105,110142111,06,21,,,,,,,,,,,,,,,,,,,,,,,,22,22,,
2015,110105,110142111,07,21,,,,,,,,,,,,,,,,,,,,,,,,29,29,,
2015,110105,110142111,08,21,,,,,,,,,,,,,,,,,,,,,,,,30,30,,
2015,110105,110142111,09,21,,,,,,,,,,,,,,,,,,,,,,,,19,19,,
2015,110105,110142111,10,21,,,,,,,,,,,,,,,,,,,,,,,,47,47,,
2015,110105,110142111,11,21,,,,,,,,,,,,,,,,,,,,,,,,43,43,,
2015,110105,110142111,12,21,3,,,,14,1,,,10,,,,1,,,,28,1,,,,,,36,36,,
2015,110218,110243042,05,21,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110218,110243042,06,21,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110218,110243042,07,21,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,110218,110243042,08,21,,,,,,,,,,,,,,,,,,,,,,,,,,,
