cAnnee,cCodeNiv,cCodeStru,cPeriode,cTypeRapport,cIST_CLIDEP_INF15a,cIST_CLIDEP_1524a,cIST_CLIDEP_2549a,cIST_CLIDEP_5099a,cIST_CLIDEP_Total,cIST_CLIDEP_SEX_M,cIST_CLIDEP_SEX_F,cIST_CLIDEP_GAR_TDS,cIST_CLIDEP_GAR_PIST,cIST_CLIDEP_GAR_MSM,cIST_CLIDEP_GAR_TDI,cIST_CLIDEP_GAR_DET,cIST_CLIDEP_GAR_AUT,cIST_CLIDEP_TUB,cIST_CLIDEP_FE,cIST_CLIDEP_AUTRES,cIST_CLIRES_INF15a,cIST_CLIRES_1524a,cIST_CLIRES_2549a,cIST_CLIRES_5099a,cIST_CLIRES_Total,cIST_CLIRES_SEX_M,cIST_CLIRES_SEX_F,cIST_CLIRES_GAR_TDS,cIST_CLIRES_GAR_PIST,cIST_CLIRES_GAR_MSM,cIST_CLIRES_GAR_TDI,cIST_CLIRES_GAR_DET,cIST_CLIRES_GAR_AUT,cIST_CLIRES_TUB,cIST_CLIRES_FE,cIST_CLIRES_AUTRES,cIST_CLIPOS_INF15a,cIST_CLIPOS_1524a,cIST_CLIPOS_2549a,cIST_CLIPOS_5099a,cIST_CLIPOS_Total,cIST_CLIPOS_SEX_M,cIST_CLIPOS_SEX_F,cIST_CLIPOS_GAR_TDS,cIST_CLIPOS_GAR_PIST,cIST_CLIPOS_GAR_MSM,cIST_CLIPOS_GAR_TDI,cIST_CLIPOS_GAR_DET,cIST_CLIPOS_GAR_AUT,cIST_CLIPOS_TUB,cIST_CLIPOS_FE,cIST_CLIPOS_AUTRES,cNC_EG,cDEPSYP_EG,cSYPPOS_EG
2015,110101,110141002,04,21,,41,47,,88,9,79,2,20,,,,,,50,16,,41,47,,88,9,79,2,20,,,,,,50,16,,,,,,,,,,,,,,,,,24,,
2015,110101,110141002,04,21,,41,47,,88,9,79,2,20,,,,,,50,16,,41,47,,88,9,79,2,20,,,,,,50,16,,,,,,,,,,,,,,,,,24,,
2015,110101,110141002,04,21,,41,47,,88,9,79,2,20,,,,,,50,16,,41,47,,88,9,79,2,20,,,,,,50,16,,,,,,,,,,,,,,,,,24,,
2015,110101,110141002,04,21,,41,47,,88,9,79,2,20,,,,,,50,16,,41,47,,88,9,79,2,20,,,,,,50,16,,,,,,,,,,,,,,,,,24,,
2015,110101,110141002,04,21,,41,47,,88,9,79,2,20,,,,,,50,16,,41,47,,88,9,79,2,20,,,,,,50,16,,,,,,,,,,,,,,,,,24,,
2015,110101,110141002,04,21,,41,47,,88,9,79,2,20,,,,,,50,16,,41,47,,88,9,79,2,20,,,,,,50,16,,,,,,,,,,,,,,,,,24,,
2015,110101,110141002,04,21,,41,47,,88,9,79,2,20,,,,,,50,16,,41,47,,88,9,79,2,20,,,,,,50,16,,,,,,,,,,,,,,,,,24,,
2015,110101,110141002,04,21,,41,47,,88,9,79,2,20,,,,,,50,16,,41,47,,88,9,79,2,20,,,,,,50,16,,,,,,,,,,,,,,,,,24,,
2015,110101,110141002,04,21,,41,47,,88,9,79,2,20,,,,,,50,16,,41,47,,88,9,79,2,20,,,,,,50,16,,,,,,,,,,,,,,,,,24,,
2015,110101,110141002,04,21,,41,47,,88,9,79,2,20,,,,,,50,16,,41,47,,88,9,79,2,20,,,,,,50,16,,,,,,,,,,,,,,,,,24,,
2015,110101,110141002,04,21,,41,47,,88,9,79,2,20,,,,,,50,16,,41,47,,88,9,79,2,20,,,,,,50,16,,,,,,,,,,,,,,,,,24,,
