cAnnee,cCodeNiv,cCodeStru,cPeriode,cTypeRapport,c0005m_ENFMES,c0005m_ENFPES,c0005m_ENFPESMES,c0005m_PA_INFM2ET,c0005m_PT_INFM3ET,c0005m_PT_SUP2ET,c0005m_TA_INFM2ET,c0005m_ADM,c0005m_GUERIS,c0005m_DCD,c0005m_ABD,c0005m_AUTSOR,c0611m_ENFMES,c0611m_ENFPES,c0611m_ENFPESMES,c0611m_PA_INFM2ET,c0611m_PT_INFM3ET,c0611m_PT_SUP2ET,c0611m_TA_INFM2ET,c0611m_ADM,c0611m_GUERIS,c0611m_DCD,c0611m_ABD,c0611m_AUTSOR,c1223m_ENFMES,c1223m_ENFPES,c1223m_ENFPESMES,c1223m_PA_INFM2ET,c1223m_PT_INFM3ET,c1223m_PT_SUP2ET,c1223m_TA_INFM2ET,c1223m_ADM,c1223m_GUERIS,c1223m_DCD,c1223m_ABD,c1223m_AUTSOR,c2459m_ENFMES,c2459m_ENFPES,c2459m_ENFPESMES,c2459m_PA_INFM2ET,c2459m_PT_INFM3ET,c2459m_PT_SUP2ET,c2459m_TA_INFM2ET,c2459m_ADM,c2459m_GUERIS,c2459m_DCD,c2459m_ABD,c2459m_AUTSOR,cSNETOT_ENFMES,cSNETOT_ENFPES,cTotal_ENFPESMES,cSNETOT_PA_INFM2ET,cSNETOT_PT_INFM3ET,cSNETOT_PT_SUP2ET,cSNETOT_TA_INFM2ET,cSNETOT_ADM,cSNETOT_GUERIS,cSNETOT_DCD,cSNETOT_ABD,cSNETOT_AUTSOR,c0005m_VITA,c0005m_ALB,c0611m_VITA,c0611m_ALB,c1259m_VITA,c1259m_ALB,cSSMETOT_VITA,cSSMETOT_ALB
2015,110101,110141002,04,21,310,310,310,,,,,,,,,,362,362,362,,,,,1,,,,,91,91,91,,,,,,,,,,7,7,7,,,,,,,,,,770,770,770,,,,,1,,,,,,,,,,,,
2015,110101,110141002,04,21,310,310,310,,,,,,,,,,362,362,362,,,,,1,,,,,91,91,91,,,,,,,,,,7,7,7,,,,,,,,,,770,770,770,,,,,1,,,,,,,,,,,,
2015,110101,110141002,04,21,310,310,310,,,,,,,,,,362,362,362,,,,,1,,,,,91,91,91,,,,,,,,,,7,7,7,,,,,,,,,,770,770,770,,,,,1,,,,,,,,,,,,
2015,110101,110141002,04,21,310,310,310,,,,,,,,,,362,362,362,,,,,1,,,,,91,91,91,,,,,,,,,,7,7,7,,,,,,,,,,770,770,770,,,,,1,,,,,,,,,,,,
2015,110101,110141002,04,21,310,310,310,,,,,,,,,,362,362,362,,,,,1,,,,,91,91,91,,,,,,,,,,7,7,7,,,,,,,,,,770,770,770,,,,,1,,,,,,,,,,,,
2015,110101,110141002,04,21,310,310,310,,,,,,,,,,362,362,362,,,,,1,,,,,91,91,91,,,,,,,,,,7,7,7,,,,,,,,,,770,770,770,,,,,1,,,,,,,,,,,,
2015,110101,110141002,05,21,,350,350,,,,,3,,,,,,253,253,,,,,,,,,,,95,95,,,,,,,,,,,3,3,,,,,,,,,,,701,701,,,,,,,,,,,,749,,7292,7297,8041,7297
2015,110101,110141002,06,21,,53,,,,,,,,,,,,28,,4,,,,,,,,,,35,,3,,,,,,,,,,42,,2,,,,,,,,,,158,0,9,,,,,,,,,,,,,,,,
2015,110101,110141002,07,21,431,431,431,,197,,,,,,,,304,304,304,,248,,,,,,,,87,87,87,,,,,,,,,,9,9,9,,9,,,,,,,,831,831,831,,454,,,,,,,,,,,,,,,
2015,110101,110141002,08,21,,54,,,,,,,,,,,,28,,,,,,,,,,,,30,,,,,,,,,,,,38,2,2,,,,,,,,,,150,2,2,,,,,,,,,,,,,,,,
