cAnnee,cCodeNiv,cCodeStru,cPeriode,cTypeRapport,cTOT_CPN,cCPN1,cCPN1_FAF,cCPN1_MID,cCPN1_M18a,cCPN1_M4m,c4CPN,cTPI3,cVAT2PLUS,cP4mALB,cCPN1SYPH,cCPN1SYPHP,cCPN1SP3BP,cCPN14mSY,cCPN14mSYP,cCPN14mS1BP,cCPN1_TVIH,cCPNI_TVIHR,cCPN1_VIHP
2015,210101,210142005,04,21,,,,,,,,,,,,,,,,,,,
2015,210101,210142005,04,21,,,,,,,,,,,,,,,,,,,
2015,210101,210142005,04,21,,,,,,,,,,,,,,,,,,,
2015,210101,210142005,04,21,,,,,,,,,,,,,,,,,,,
2015,210101,210142005,04,21,,,,,,,,,,,,,,,,,,,
2015,210101,210142005,04,21,,,,,,,,,,,,,,,,,,,
2015,210101,210142005,04,21,,,,,,,,,,,,,,,,,,,
2015,210101,210142005,04,21,,,,,,,,,,,,,,,,,,,
2015,210101,210142005,04,21,,,,,,,,,,,,,,,,,,,
2015,210101,210142005,04,21,,,,,,,,,,,,,,,,,,,
2015,210101,210142005,04,21,,,,,,,,,,,,,,,,,,,
2015,210101,210142005,05,21,,,,,,,,,,,,,,,,,,,
2015,210101,210142005,06,21,,,,,,,,,,,,,,,,,,,
2015,210101,210143014,04,21,,,,,,,,,,,,,,,,,,,
2015,210101,210143014,05,21,,,,,,,,,,,,,,,,,,,
2015,210101,210143014,07,21,,,,,,,,,,,,,,,,,,,
2015,210101,210143014,08,21,,,,,,,,,,,,,,,,,,,
2015,210101,210143014,09,21,,,,,,,,,,,,,,,,,,,
2015,210101,210143014,10,21,,,,,,,,,,,,,,,,,,,
2015,210101,210143014,11,21,,,,,,,,,,,,,,,,,,,
2015,210101,210143014,12,21,,,,,,,,,,,,,,,,,,,
2015,210202,210251003,05,21,25,8,8,0,1,0,8,0,13,25,0,0,0,0,0,0,0,0,0
2015,210202,210251003,06,21,21,8,8,0,2,0,6,6,5,21,0,0,0,0,0,0,0,0,0
2015,210202,210251003,07,21,25,13,13,0,5,5,4,5,6,20,0,0,0,0,0,0,0,0,0
2015,210202,210251003,08,21,24,10,10,0,2,4,2,3,9,20,0,0,0,0,0,0,0,0,0
2015,210202,210251003,09,21,20,4,4,0,0,0,3,8,9,20,0,0,0,0,0,0,0,0,0
2015,210202,210251003,10,21,24,14,14,14,5,0,3,8,5,24,,,,,,,,,
2015,210202,210251003,11,21,18,6,6,6,2,0,3,7,7,18,0,0,0,0,0,0,0,0,0
2015,210202,210251003,12,21,17,7,7,7,2,2,3,0,9,15,0,0,0,0,0,0,0,0,0
2015,220206,220241012,02,21,17,4,,,,,5,,5,6,,,,,,,5,5,
2015,220206,220241012,03,21,17,7,,7,,4,1,11,,3,,,,,,,6,6,
2015,220206,220241012,04,21,27,9,,9,1,1,6,,5,11,,,,,,,,,
2015,220206,220241012,05,21,22,8,,8,1,1,2,,7,8,7,2,,,,,5,5,
2015,220206,220241012,06,21,20,3,,3,1,1,5,,10,4,1,,,,,,1,1,
2015,220206,220241012,07,21,25,6,,6,,1,9,0,9,4,6,,,,,,6,6,
2015,220206,220241012,08,21,25,11,,11,1,2,3,,7,11,11,,,2,,,11,11,0
2015,220206,220241012,09,21,30,7,,7,,,4,,12,10,7,,,,,,7,7,
2015,220206,220241012,10,21,30,6,,6,,,9,,6,6,6,,,,,,6,6,
2015,220206,220241012,11,21,30,10,1,10,1,2,7,,5,9,10,,,2,,,10,10,
2015,220206,220241012,12,21,27,4,3,4,1,1,7,,,4,4,,,,,,4,4,
2015,340108,340141014,07,21,77,21,21,0,2,4,13,0,33,22,,,,,,,,,
2015,340108,340141014,08,21,51,15,5,0,3,5,9,22,21,14,,,,,,,,,
2015,340108,340141014,09,21,77,35,12,,6,3,11,18,23,32,,,,,,,,,
2015,340108,340141014,10,21,61,18,18,8,4,3,7,15,84,168,,,,,,,,,
2015,340108,340141014,11,21,66,24,4,18,7,4,6,21,41,23,,,,,,,,,
2015,340108,340141014,12,21,77,22,9,16,3,3,12,8,43,20,,,,,,,,,
2015,340111,340143018,07,21,58,23,23,0,5,5,7,0,17,20,,,,,,,,,
2015,340111,340143018,08,21,44,14,13,,3,6,6,2,8,3,,,,,,,,,
2015,340111,340143018,09,21,43,14,12,,2,3,4,,9,3,,,,,,,,,
2015,340111,340143018,10,21,54,22,22,,5,1,12,,21,27,,,,,,,,,
2015,340111,340143018,11,21,55,21,21,4,4,8,7,0,15,16,,,,,,,,,
2015,340111,340143018,12,21,70,19,19,10,4,6,10,0,36,15,,,,,,,,,
2015,340112,340141020,07,21,92,31,31,0,2,9,38,0,0,22,31,31,,,,,,,
2015,340112,340141020,08,21,118,44,44,0,8,10,46,15,77,34,23,2,2,10,2,2,44,44,0
2015,340112,340141020,09,21,90,41,35,0,4,8,39,39,65,37,41,,,,,,41,,
2015,340112,340141020,10,21,135,49,28,0,11,15,42,42,78,34,,,,,,,49,49,
2015,340112,340141020,11,21,96,26,24,26,4,8,29,21,69,18,,,,,,,26,26,0
2015,340112,340141020,12,21,88,34,26,34,5,8,32,24,73,26,,,,,,,34,34,
2015,340115,340143026,07,21,105,33,33,0,25,9,10,0,0,31,,,,,,,,,
2015,340115,340143026,08,21,118,29,16,,8,12,17,,,25,,,,,,,,,
2015,340115,340143026,09,21,85,27,13,,8,11,9,12,,30,,,,,,,,,
2015,340115,340143026,10,21,87,28,20,0,19,8,10,15,0,27,,,,,,,,,
2015,340115,340143026,11,21,84,13,7,,3,8,9,11,,8,,,,,,,,,
2015,340115,340143026,12,21,41,8,4,,8,7,5,14,,13,,,,,,,,,
2015,340116,340141027,07,21,8,4,,0,,,,,,,,,,,,,,,
2015,340116,340141027,08,21,15,8,0,0,3,2,0,2,9,6,0,0,0,0,0,0,0,0,0
2015,340116,340141027,09,21,37,26,,,7,8,2,6,28,18,16,,,8,,,,,
2015,340116,340141027,10,21,39,20,,,5,4,1,4,27,37,,,,,,,,,
2015,340116,340141027,11,21,28,5,3,,1,1,2,8,20,2,,,,,,,,,
2015,340116,340151028,07,21,14,6,6,0,0,3,0,,0,,,,,,,,,,
2015,340116,340151028,08,21,40,16,,,4,8,5,,17,,16,2,,,,,16,16,0
2015,340116,340151028,09,21,40,12,,,5,6,6,2,17,,12,2,,6,1,,12,12,
2015,340116,340151028,10,21,52,12,,3,1,7,9,9,22,40,12,,,7,,,,,
2015,340116,340151028,11,21,35,8,8,8,1,5,5,8,21,25,8,1,,1,,,8,8,0
2015,340116,340151028,12,21,20,4,1,,3,4,10,1,12,0,4,,,,,,4,4,
2015,340118,340141030,07,21,29,8,8,0,2,0,3,,8,6,,,,,,,,,
2015,340118,340141030,08,21,48,21,20,0,11,1,9,3,11,10,,,,,,,,,
2015,340118,340141030,09,21,70,27,6,0,13,0,12,14,18,24,,,,,,,,,
2015,340118,340141030,10,21,14,14,9,6,7,2,8,14,16,12,14,,,,,,,,
2015,340118,340141030,11,21,31,7,7,7,3,5,3,8,12,13,17,,,,,,,,
2015,340118,340141030,12,21,17,17,3,14,5,5,7,19,12,13,13,1,,,,,,,
2015,340118,340142031,07,21,55,24,24,0,8,3,12,,,23,,,,,,,,,
2015,340118,340142031,08,21,40,14,14,,2,2,10,,12,12,,,,,,,,,
2015,340118,340142031,09,21,35,10,10,,10,3,12,,15,25,,,,,,,,,
2015,340118,340142031,10,21,35,16,15,16,9,1,10,,10,15,,,,,,,,,
2015,340118,340142031,11,21,46,18,14,,8,4,20,,10,14,,,,,,,,,
