cAnnee,cCodeNiv,cCodeStru,cPeriode,cTypeRapport,cEJVVM_0609a,cEJVVM_1014a,cEJVVM_1524a,cEJVVM_TOTAL,cEJPBSAN_0609a,cEJPBSAN_1014a,cEJPBSAN_1524a,cEJPBSAN_TOTAL,cTESTKIT_NECHEFF,cTESTKIT_NTPOS,cFER_F,cFER_G,cFAF_F,cFAF_G
2015,110101,110141001,6,21,,,,,,,,,,,,,,
2015,110101,110141003,4,21,60,104,103,267,31,79,36,146,,,,,,
2015,110101,110141003,5,21,25,32,3,60,9,11,,20,,,,,,
2015,110101,110141003,6,21,29,130,4,163,16,79,,95,,,,,,
2015,110101,110141003,7,21,36,46,5,87,12,4,,,,,,,,
2015,110101,110141003,8,21,110,26,1,137,49,8,1,58,,,,,,
2015,110101,110141003,9,21,,,,,,,,,3,3,,,,
2015,110101,110141003,10,21,54,48,76,178,27,20,10,57,3,3,,,,
2015,110101,110141003,11,21,111,116,13,240,4,,1,5,3,3,,,,
2015,110101,110141003,12,21,128,79,2,209,,,,,3,3,,,,
2015,110101,110141004,4,21,42,108,27,177,3,17,4,24,,,,,,
2015,110101,110141004,5,21,,4,,4,,,,,,,,,,
2015,110101,110141004,8,21,6,2,,8,2,1,,3,,,,,,
2015,110101,110141004,9,21,12,16,2,30,2,4,,6,,,,,,
2015,110101,110141004,10,21,14,,,14,,,,,,,,,,
2015,110101,110141004,11,21,28,35,,63,3,7,,,86,86,,,,
2015,110101,110141004,12,21,10,44,,54,,6,,6,6,6,,,,
2015,110101,110141005,4,21,172,612,284,1068,29,93,31,153,,,,,,
2015,110101,110141005,5,21,389,472,220,1081,72,49,25,146,,,,,,
2015,110101,110141005,6,21,102,73,16,191,34,25,5,64,,,,,,
2015,110101,110141005,7,21,47,72,12,131,13,31,6,50,,,,,,
2015,110101,110141005,8,21,73,21,10,104,12,7,4,23,,,,,,
2015,110101,110141005,9,21,159,73,19,251,34,12,4,50,,,,,,
2015,110101,110141005,10,21,48,71,13,132,12,29,7,48,139,139,,,,
2015,110101,110141005,11,21,59,73,10,142,14,21,6,41,138,138,,,,
2015,110101,110141005,12,21,72,32,28,132,19,13,12,44,138,138,,,,
2015,110101,110142014,9,21,,,14,14,,,7,7,,,,,,
2015,110101,110142014,12,21,25,20,74,119,25,20,74,119,,,,,,
2015,110101,110143010,6,21,,,,,,,,,,,,,,
2015,110101,110143012,8,21,,,,,,,,,,,,,,
2015,110101,110143017,8,21,,,,,,,,,,,,,,
2015,110101,110143025,5,21,,,,,,,,,,,,,,
2015,110101,110143026,7,21,,,,,,,,,,,,,,
2015,110101,110143026,8,21,,,,,,,,,,,,,,
2015,110101,110143028,9,21,,,,,,,,,,,,,,
2015,110101,110143032,7,21,,,,,,,,,,,,,,
2015,110101,110143037,5,21,,,,,,,,,,,,,,
2015,110101,110143134,6,21,,,,,,,,,,,,,,
2015,110101,110143145,7,21,,,,,,,,,,,,,,
2015,110101,110143157,11,21,,6,11,17,,,1,1,,,,,,
2015,110101,110143157,12,21,,5,1,6,,,,,,,,,,
2015,110102,110141041,4,21,162,185,32,379,11,9,,20,54,54,,,,
2015,110102,110141041,5,21,,,,,,,,,55,55,,,,
2015,110102,110141041,6,21,13,,,13,,,,,48,48,,,,
2015,110102,110141041,7,21,21,3,,24,,,,,34,34,,,,
2015,110102,110141041,8,21,24,13,6,43,2,,,,54,54,,,,
2015,110102,110141041,9,21,25,31,4,60,4,1,,5,,,,,,
2015,110102,110141041,10,21,64,21,9,94,7,1,,8,58,58,,,,
2015,110102,110141041,11,21,3,8,14,25,,,,,54,54,,,,
2015,110102,110141041,12,21,,,,,,,,,85,85,,,,
2015,110102,110141042,4,21,26,,,26,1,,,1,,,,,,
2015,110102,110141042,5,21,53,40,23,116,,4,,4,,,,,,
2015,110102,110141042,8,21,38,7,,45,6,,,6,,,,,,
2015,110102,110141042,9,21,152,31,,183,8,11,,19,,,,,,
2015,110102,110141042,10,21,52,61,18,131,3,2,4,9,6,6,,,,
2015,110102,110141042,11,21,64,33,,97,7,11,,18,,,,,,
2015,110102,110141042,12,21,25,33,196,254,2,6,43,51,7,7,,,,
2015,110102,110141043,4,21,32,17,15,64,5,7,,12,,,,,,
2015,110102,110141043,5,21,15,31,,46,,,,,,,,,,
2015,110102,110141043,6,21,5,,,5,,,,,,,,,,
2015,110102,110141043,7,21,60,57,6,123,,,,,,,,,,
2015,110102,110141043,8,21,22,12,,34,7,6,,13,,,,,,
2015,110102,110141043,10,21,133,125,45,303,47,28,10,85,10,10,,,,
2015,110102,110141043,11,21,11,6,8,25,6,3,1,10,10,10,,,,
2015,110102,110141043,12,21,4,5,2,11,1,1,1,3,10,10,,,,
2015,110102,110141044,4,21,,135,,135,,74,,74,,,,,,
2015,110102,110141044,5,21,,135,,135,,73,,73,,,,,,
2015,110102,110141044,6,21,,30,,30,,7,,7,,,,,,
2015,110102,110141044,9,21,90,30,22,142,50,20,4,74,,,,,,
2015,110102,110141044,10,21,50,27,,77,10,8,,18,,,,,,
2015,110102,110141044,11,21,,,,,,,,,5,3,,,,
2015,110102,110141044,12,21,,,,,,,,,3,3,,,,
2015,110102,110143056,6,21,,,,,,,,,,,,,,
2015,110102,110143056,10,21,4,9,1,14,,,,,,,,,,
2015,110102,110143056,11,21,1,,,1,,,,,,,,,,
2015,110102,110143160,9,21,,,,,,,,,,,,,,
2015,110103,110141057,4,21,,,,,,,,,7,7,,,,
2015,110103,110141057,5,21,,,,,,,,,7,7,,,,
2015,110103,110141057,6,21,,,,,,,,,7,7,,,,
2015,110103,110141057,7,21,15,25,12,52,2,1,,3,7,7,,,,
2015,110103,110141057,8,21,130,39,10,179,78,29,4,111,,,,,,
2015,110103,110141057,9,21,228,59,41,328,128,31,9,168,7,7,,,8,12
2015,110103,110141057,10,21,236,87,22,345,28,4,7,39,7,7,,,,
2015,110103,110141057,11,21,,,,,,,,,7,7,,,,
2015,110103,110141057,12,21,118,57,53,228,37,12,11,60,17,7,,,,
2015,110103,110142065,5,21,,,,,,,,,,,,,,
2015,110103,110143059,6,21,,,,,,,,,,,,,,
2015,110103,110143062,6,21,,,,,,,,,,,,,,
2015,110103,110143064,5,21,,,,,,,,,,,,,,
2015,110103,110143064,6,21,,,,,,,,,,,,,,
2015,110103,110143074,5,21,,,,,,,,,,,,,,
2015,110103,110143074,10,21,,,,,,,,,,,,,,
2015,110103,110143078,4,21,,,,,,,,,,,,,,
2015,110103,110143078,6,21,,,,,,,,,,,,,,
2015,110104,110141079,4,21,148,167,46,361,59,111,22,192,,,,,,
2015,110104,110141079,5,21,1,40,1,42,,,1,1,,,,,,
2015,110104,110141079,6,21,21,10,1,32,11,3,1,15,,,,,,
2015,110104,110141079,8,21,2,,1,3,1,,,1,,,,,,
2015,110104,110141079,9,21,136,24,1,161,76,10,1,87,,,,,,
2015,110104,110141079,10,21,12,10,1,23,5,1,,6,,,,,,
2015,110104,110141079,11,21,137,19,,156,108,4,,112,,,,,,
2015,110104,110141079,12,21,11,41,12,64,8,17,8,33,,,,,,
2015,110104,110141080,5,21,204,211,28,443,109,89,10,208,,,,,,
2015,110104,110141080,6,21,103,638,13,754,103,80,13,196,,,,,,
2015,110104,110141080,7,21,80,75,10,165,35,45,5,85,,,,,,
2015,110104,110141080,10,21,,,,,,,,,10,10,,,,
2015,110104,110141080,11,21,100,152,60,312,78,125,38,241,8,8,,,,
2015,110104,110141080,12,21,90,80,25,195,38,50,20,108,7,7,,,,
2015,110104,110142086,8,21,,,,,,,,,,,,,,
2015,110104,110143081,9,21,39,2,,41,,,,,,,,,,
2015,110104,110143081,10,21,13,,,13,,,,,,,,,,
2015,110104,110143092,8,21,,,,,,,,,,,,,,
2015,110104,110143093,8,21,,,,,,,,,,,,,,
2015,110104,110143094,6,21,,,,,,,,,,,,,,
2015,110104,110143094,8,21,18,23,7,48,,,,,,,,,,
2015,110104,110143094,9,21,25,17,11,53,,,,,,,,,,
2015,110104,110143094,10,21,12,23,8,43,,,,,,,,,,
2015,110104,110143094,11,21,1,8,12,21,,,,,,,,,,
2015,110104,110143094,12,21,2,5,4,11,,,,,,,,,,
2015,110104,110143136,6,21,,,,,,,,,,,,,,
2015,110104,110143136,8,21,,,,,,,,,,,,,,
2015,110105,110141096,4,21,301,20,,321,209,12,,221,,,,,,
2015,110105,110141096,5,21,228,60,,288,165,45,,210,,,,,,
2015,110105,110141096,12,21,76,121,126,323,32,46,16,94,,,,,,
2015,110105,110141097,4,21,57,250,37,,6,8,,,,,,,,
2015,110105,110141097,5,21,190,520,17,727,4,11,,15,,,,,,
2015,110105,110141097,6,21,177,57,3,237,2,2,,4,,,,,,
2015,110105,110141097,7,21,11,16,1,28,,2,,2,,,,,,
2015,110105,110141097,8,21,117,55,11,183,5,,,5,,,,,,
2015,110105,110141097,9,21,137,85,25,247,8,,,8,,,,,,
2015,110105,110141097,10,21,165,134,42,341,5,3,1,9,,,,,,
2015,110105,110141097,11,21,98,63,18,179,1,1,,2,,,,,,
2015,110105,110141097,12,21,9,18,,27,2,,,2,6,6,,,,
2015,110105,110141107,11,21,,,,,,,,,,,,,,
2015,110105,110143102,8,21,,,,,,,,,,,,,,
2015,110105,110143117,9,21,,,,,,,,,,,,,,
2015,110105,110143139,4,21,,,,,,,,,,,,,,
2015,110106,110141122,4,21,216,211,30,457,20,15,2,37,,,,,,
2015,110106,110141122,5,21,120,90,,210,20,10,,30,,,,,,
2015,110106,110141122,6,21,27,38,,65,4,5,,9,,,,,,
2015,110106,110141122,7,21,20,10,2,32,20,10,2,32,,,,,,
2015,110106,110141122,8,21,15,15,5,35,5,5,2,12,,,,,,
2015,110106,110141122,9,21,60,40,20,120,15,10,6,31,,,,,,
2015,110106,110141122,10,21,40,20,10,70,10,5,5,20,26,26,,,,
2015,110106,110141122,11,21,30,10,5,45,5,3,2,10,,,,,,
2015,110106,110141122,12,21,10,5,5,20,3,1,1,5,,,,,,
2015,110106,110142126,6,21,,,,,,,,,,,,,,
2015,110106,110143061,6,21,,,,,,,,,,,,,,
2015,110106,110143125,4,21,,,,,,,,,,,,,,
2015,110201,110243001,6,21,,,,,,,,,,,,,,
2015,110201,110243001,7,21,,,,,,,,,,,,,,
2015,110201,110243001,8,21,,,,,,,,,,,,,,
2015,110201,110243001,9,21,,,,,,,,,,,,,,
2015,110201,110243001,10,21,,,,,,,,,,,,,,
2015,110201,110243001,11,21,,,,,,,,,,,,,,
2015,110201,110243001,12,21,,,,,,,,,,,,,,
2015,110201,110243002,7,21,,,,,,,,,,,,,,
2015,110201,110243002,8,21,,,,,,,,,,,,,,
2015,110201,110243002,9,21,,,,,,,,,,,,,,
2015,110201,110243002,10,21,,,,,,,,,,,,,,
2015,110201,110243002,11,21,,,,,,,,,,,,,,
2015,110201,110243002,12,21,,,,,,,,,,,,,,
2015,110201,110243024,8,21,,,,,,,,,,,,,,
2015,110201,110243024,9,21,,,,,,,,,,,,,,
2015,110201,110243024,10,21,,,,,,,,,,,,,,
2015,110201,110243024,11,21,,,,,,,,,,,,,,
2015,110201,110243024,12,21,,,,,,,,,,,,,,
2015,110202,110241004,4,21,0,,,,,,,,,,,,,
2015,110202,110241004,5,21,0,,,,,,,,,,,,,
