"Label","DataElementUId","CoCUid","AccessDatabaseFile","AccessDBTable","Code","AccessDBColumn","AccessColumnDescription ( ","DataSetUid","Tab RMA DHIS2"
"T4:- Signes généraux de danger 0 –  28j, Masculin","pvq4MCTGybs","HIsTqXVmDdV",,"tRM_CSB_Cons_Ext","SGDANG","c$_0028j_M",,"GSUZkSLVfZy","Tableau 3"
"T4:- Signes généraux de danger 0 –  28j, Feminin","pvq4MCTGybs","TJlRzxBqiqG",,"tRM_CSB_Cons_Ext","SGDANG","c$_0028j_F",,"GSUZkSLVfZy","Tableau 3"
"T4:- Signes généraux de danger 29j – 11mois, Masculin","pvq4MCTGybs","GKRrbxnOIsR",,"tRM_CSB_Cons_Ext","SGDANG","c$_2911m_M",,"GSUZkSLVfZy","Tableau 3"
"T4:- Signes généraux de danger 29j – 11mois, Feminin","pvq4MCTGybs","AbwRHg1G63d",,"tRM_CSB_Cons_Ext","SGDANG","c$_2911m_F",,"GSUZkSLVfZy","Tableau 3"
"T4:- Signes généraux de danger 1– 4 ans, Masculin","pvq4MCTGybs","lwrX7wJqjhW",,"tRM_CSB_Cons_Ext","SGDANG","c$_0104a_M",,"GSUZkSLVfZy","Tableau 3"
"T4:- Signes généraux de danger 1– 4 ans, Feminin","pvq4MCTGybs","DSaVQguA6v6",,"tRM_CSB_Cons_Ext","SGDANG","c$_0104a_F",,"GSUZkSLVfZy","Tableau 3"
"Consultation externe/Nouveaux cas de signes generaux de danger en Referes CSB Homme","P8SZD879vQJ","Dth2gBj2kEF",,"tRM_CSB_Cons_Ext","SGDANG","c$_REF_M",,"GSUZkSLVfZy","Tableau 3"
"Consultation externe/Nouveaux cas de signes generaux de danger en Referes CSB Femme","P8SZD879vQJ","sw2ZKOSUaAr",,"tRM_CSB_Cons_Ext","SGDANG","c$_REF_F",,"GSUZkSLVfZy","Tableau 3"
"Consultation externe/Nouveaux cas de diarrhees en  CSB 0 –  28j, Masculin","RHjja8Nv99a","HIsTqXVmDdV",,"tRM_CSB_Cons_Ext","DIAR","c$_0028j_M",,"GSUZkSLVfZy","Tableau 3"
"Consultation externe/Nouveaux cas de diarrhees en  CSB 0 –  28j, Feminin","RHjja8Nv99a","TJlRzxBqiqG",,"tRM_CSB_Cons_Ext","DIAR","c$_0028j_F",,"GSUZkSLVfZy","Tableau 3"
"Consultation externe/Nouveaux cas de diarrhees en  CSB 29j – 11mois, Masculin","RHjja8Nv99a","GKRrbxnOIsR",,"tRM_CSB_Cons_Ext","DIAR","c$_2911m_M",,"GSUZkSLVfZy","Tableau 3"
"Consultation externe/Nouveaux cas de diarrhees en  CSB 29j – 11mois, Feminin","RHjja8Nv99a","AbwRHg1G63d",,"tRM_CSB_Cons_Ext","DIAR","c$_2911m_F",,"GSUZkSLVfZy","Tableau 3"
"Consultation externe/Nouveaux cas de diarrhees en  CSB 1– 4 ans, Masculin","RHjja8Nv99a","lwrX7wJqjhW",,"tRM_CSB_Cons_Ext","DIAR","c$_0104a_M",,"GSUZkSLVfZy","Tableau 3"
"Consultation externe/Nouveaux cas de diarrhees en  CSB 1– 4 ans, Feminin","RHjja8Nv99a","DSaVQguA6v6",,"tRM_CSB_Cons_Ext","DIAR","c$_0104a_F",,"GSUZkSLVfZy","Tableau 3"
"Consultation externe/Nouveaux cas de diarrhees en  CSB 5 – 14 ans, Masculin","RHjja8Nv99a","PKSyh4Sf2Qj",,"tRM_CSB_Cons_Ext","DIAR","c$_0514a_M",,"GSUZkSLVfZy","Tableau 3"
"Consultation externe/Nouveaux cas de diarrhees en  CSB 5 – 14 ans, Feminin","RHjja8Nv99a","CT4zoD5VubM",,"tRM_CSB_Cons_Ext","DIAR","c$_0514a_F",,"GSUZkSLVfZy","Tableau 3"
"Consultation externe/Nouveaux cas de diarrhees en  CSB 15 –  24 ans, Masculin","RHjja8Nv99a","WzP73hslJ7o",,"tRM_CSB_Cons_Ext","DIAR","c$_1524a_M",,"GSUZkSLVfZy","Tableau 3"
"Consultation externe/Nouveaux cas de diarrhees en  CSB 15 –  24 ans, Feminin","RHjja8Nv99a","BI6jaLq1VFQ",,"tRM_CSB_Cons_Ext","DIAR","c$_1524a_F",,"GSUZkSLVfZy","Tableau 3"
"Consultation externe/Nouveaux cas de diarrhees en  CSB 25 – 59 ans, Masculin","RHjja8Nv99a","o43czi6vmWy",,"tRM_CSB_Cons_Ext","DIAR","c$_2559a_M",,"GSUZkSLVfZy","Tableau 3"
"Consultation externe/Nouveaux cas de diarrhees en  CSB 25 – 59 ans, Feminin","RHjja8Nv99a","Nd7vAyFaB7l",,"tRM_CSB_Cons_Ext","DIAR","c$_2559a_F",,"GSUZkSLVfZy","Tableau 3"
"Consultation externe/Nouveaux cas de diarrhees en  CSB = 60 ans, Masculin","RHjja8Nv99a","MjUuIFTQpp4",,"tRM_CSB_Cons_Ext","DIAR","c$_6099a_M",,"GSUZkSLVfZy","Tableau 3"
"Consultation externe/Nouveaux cas de diarrhees en  CSB = 60 ans, Feminin","RHjja8Nv99a","xUki4Ryejao",,"tRM_CSB_Cons_Ext","DIAR","c$_6099a_F",,"GSUZkSLVfZy","Tableau 3"
"Consultation externe/Nouveaux cas de diarrhees en Referes CSB Homme","GA0mdYWAypu","Dth2gBj2kEF",,"tRM_CSB_Cons_Ext","DIAR","c$_REF_M",,"GSUZkSLVfZy","Tableau 3"
"Consultation externe/Nouveaux cas de diarrhees en Referes CSB Femme","GA0mdYWAypu","sw2ZKOSUaAr",,"tRM_CSB_Cons_Ext","DIAR","c$_REF_F",,"GSUZkSLVfZy","Tableau 3"
"T4:- Toux ou Rhume 0 –  28j, Masculin","KcKDEGA2MKv","HIsTqXVmDdV",,"tRM_CSB_Cons_Ext","TXRH","c$_0028j_M",,"GSUZkSLVfZy","Tableau 3"
"T4:- Toux ou Rhume 0 –  28j, Feminin","KcKDEGA2MKv","TJlRzxBqiqG",,"tRM_CSB_Cons_Ext","TXRH","c$_0028j_F",,"GSUZkSLVfZy","Tableau 3"
"T4:- Toux ou Rhume 29j – 11mois, Masculin","KcKDEGA2MKv","GKRrbxnOIsR",,"tRM_CSB_Cons_Ext","TXRH","c$_2911m_M",,"GSUZkSLVfZy","Tableau 3"
"T4:- Toux ou Rhume 29j – 11mois, Feminin","KcKDEGA2MKv","AbwRHg1G63d",,"tRM_CSB_Cons_Ext","TXRH","c$_2911m_F",,"GSUZkSLVfZy","Tableau 3"
"T4:- Toux ou Rhume 1– 4 ans, Masculin","KcKDEGA2MKv","lwrX7wJqjhW",,"tRM_CSB_Cons_Ext","TXRH","c$_0104a_M",,"GSUZkSLVfZy","Tableau 3"
" T4:- Toux ou Rhume 1– 4 ans, Feminin","KcKDEGA2MKv","DSaVQguA6v6",,"tRM_CSB_Cons_Ext","TXRH","c$_0104a_F",,"GSUZkSLVfZy","Tableau 3"
"T4:- Toux ou Rhume 5 – 14 ans, Masculin","KcKDEGA2MKv","PKSyh4Sf2Qj",,"tRM_CSB_Cons_Ext","TXRH","c$_0514a_M",,"GSUZkSLVfZy","Tableau 3"
"T4:- Toux ou Rhume 5 – 14 ans, Feminin","KcKDEGA2MKv","CT4zoD5VubM",,"tRM_CSB_Cons_Ext","TXRH","c$_0514a_F",,"GSUZkSLVfZy","Tableau 3"
"T4:- Toux ou Rhume 15 –  24 ans, Masculin","KcKDEGA2MKv","WzP73hslJ7o",,"tRM_CSB_Cons_Ext","TXRH","c$_1524a_M",,"GSUZkSLVfZy","Tableau 3"
"T4:- Toux ou Rhume 15 –  24 ans, Feminin","KcKDEGA2MKv","BI6jaLq1VFQ",,"tRM_CSB_Cons_Ext","TXRH","c$_1524a_F",,"GSUZkSLVfZy","Tableau 3"
"T4:- Toux ou Rhume 25 – 59 ans, Masculin","KcKDEGA2MKv","o43czi6vmWy",,"tRM_CSB_Cons_Ext","TXRH","c$_2559a_M",,"GSUZkSLVfZy","Tableau 3"
"T4:- Toux ou Rhume 25 – 59 ans, Feminin","KcKDEGA2MKv","Nd7vAyFaB7l",,"tRM_CSB_Cons_Ext","TXRH","c$_2559a_F",,"GSUZkSLVfZy","Tableau 3"
