"Label","DataElementUId","CoCUid","DataSetUid","RMA Table Name","AccessDatabaseFile","AccessDBTable","AccessDBColumn","AccessColumnDescription","DataSETUID","Tab RMA DHIS2",
"Paludisme nombre cas de fievre toutes causes","FvLKwx96Kv0","lGaWDJ1W2Qf",,,,"tRM_CSB_Depistage_PEC","c0211m_PALU_FIEV","2-11 mois Nombre cas de fièvre","ToV2hqPjApV","Tableau 6",
"Paludisme nombre de RDT palu effectues","q87CgC2m7fZ","lGaWDJ1W2Qf",,,,"tRM_CSB_Depistage_PEC","c0211m_PALU_RDTE","2-11 mois RDT effectués","ToV2hqPjApV","Tableau 6",
"Paludisme nombre de RDT palu positif","HBugvhpeAsm","lGaWDJ1W2Qf",,,,"tRM_CSB_Depistage_PEC","c0211m_PALU_RDTP","2-11 mois RDT(+)","ToV2hqPjApV","Tableau 6",
"Paludisme nombre de RDT palu positif traites par ACT","oWA1W7mmuba","lGaWDJ1W2Qf",,,,"tRM_CSB_Depistage_PEC","c0211m_PALU_ACT","2-11 mois Traités ACT","ToV2hqPjApV","Tableau 6",
"Paludisme nombre cas de fievre toutes causes","FvLKwx96Kv0","NNsI2pNNkVS",,,,"tRM_CSB_Depistage_PEC","c0105a_PALU_FIEV","1-5 ans Nombre cas de fièvre","ToV2hqPjApV","Tableau 6",
"Paludisme nombre de RDT palu effectues","q87CgC2m7fZ","NNsI2pNNkVS",,,,"tRM_CSB_Depistage_PEC","c0105a_PALU_RDTE","1-5 ans RDT effectués","ToV2hqPjApV","Tableau 6",
"Paludisme nombre de RDT palu positif","HBugvhpeAsm","NNsI2pNNkVS",,,,"tRM_CSB_Depistage_PEC","c0105a_PALU_RDTP","1-5 ans RDT(+)","ToV2hqPjApV","Tableau 6",
"Paludisme nombre de RDT palu positif traites par ACT","oWA1W7mmuba","NNsI2pNNkVS",,,,"tRM_CSB_Depistage_PEC","c0105a_PALU_ACT","1-5 ans Traités ACT","ToV2hqPjApV","Tableau 6",
"Paludisme nombre cas de fievre toutes causes","FvLKwx96Kv0","pVev0mVXn4u",,,,"tRM_CSB_Depistage_PEC","c0613a_PALU_FIEV","6-13 ans Nombre cas de fièvre","ToV2hqPjApV","Tableau 6",
"Paludisme nombre de RDT palu effectues","q87CgC2m7fZ","pVev0mVXn4u",,,,"tRM_CSB_Depistage_PEC","c0613a_PALU_RDTE","6-13 ans RDT effectués","ToV2hqPjApV","Tableau 6",
"Paludisme nombre de RDT palu positif","HBugvhpeAsm","pVev0mVXn4u",,,,"tRM_CSB_Depistage_PEC","c0613a_PALU_RDTP","6-13 ans RDT(+)","ToV2hqPjApV","Tableau 6",
"Paludisme nombre de RDT palu positif traites par ACT","oWA1W7mmuba","pVev0mVXn4u",,,,"tRM_CSB_Depistage_PEC","c0613a_PALU_ACT","6-13 ans Traités ACT","ToV2hqPjApV","Tableau 6",
"Paludisme nombre cas de fievre toutes causes","FvLKwx96Kv0","LewvRyH0iHk",,,,"tRM_CSB_Depistage_PEC","c1499a_PALU_FIEV","14 ans et + Nombre cas de fièvre","ToV2hqPjApV","Tableau 6",
"Paludisme nombre de RDT palu effectues","q87CgC2m7fZ","LewvRyH0iHk",,,,"tRM_CSB_Depistage_PEC","c1499a_PALU_RDTE","14 ans et + RDT effectués","ToV2hqPjApV","Tableau 6",
"Paludisme nombre de RDT palu positif","HBugvhpeAsm","LewvRyH0iHk",,,,"tRM_CSB_Depistage_PEC","c1499a_PALU_RDTP","14 ans et + RDT(+)","ToV2hqPjApV","Tableau 6",
"Paludisme nombre de RDT palu positif traites par ACT","oWA1W7mmuba","LewvRyH0iHk",,,,"tRM_CSB_Depistage_PEC","c1499a_PALU_ACT","14 ans et + Traités ACT","ToV2hqPjApV","Tableau 6",
"Cancer du col nombre de depistees IVA","kBTM17SvMDm","HllvX50cXC0",,,,"tRM_CSB_Depistage_PEC","cNBFEIVA_KCCOL_DEP","Nombre femmes cibles pour IVA/cryothérapie Dépistées","ToV2hqPjApV","Tableau 6",
"Cancer du col nombre de IVA positif","arpsmnxoABK","HllvX50cXC0",,,,"tRM_CSB_Depistage_PEC","cNBFEIVA_KCCOL_IVAP","Nombre femmes cibles pour IVA/cryothérapie IVA+","ToV2hqPjApV","Tableau 6",
"Cancer du col nombre de IVA positif traitees","zzkTjODU5No","HllvX50cXC0",,,,"tRM_CSB_Depistage_PEC","cNBFEIVA_KCCOL_IVAT","Nombre femmes cibles pour IVA/cryothérapie IVA+ traitées","ToV2hqPjApV","Tableau 6",
"PCIME Total diarrhées moins de 5 ans","toUMbcnAgGN","HllvX50cXC0",,,,"tRM_CSB_Depistage_PEC","cNC0005a_DIAR","NC diarrhée chez enfants < 5ans","ToV2hqPjApV","Tableau 6",
"PCIME nombre de diarrhees traitees par Zinc/ SRO","O1W97xlGqBZ","HllvX50cXC0",,,,"tRM_CSB_Depistage_PEC","cPCIME_NC_DIA_ZSRO","Nombre nouveaux cas (cf tab 6) Diarrhées correctement traités Zinc/SRO","ToV2hqPjApV","Tableau 6",
"PCIME Total pneumonie moins de 5 ans","arxPOcQhanb","HllvX50cXC0",,,,"tRM_CSB_Depistage_PEC","cNC0005a_PNEU","Nombre nouveaux cas (cf tab 6) Pneumonie chez enfants <5ans","ToV2hqPjApV","Tableau 6",
"PCIME nombre de pneumonie traitee par Amoxicilline","dn8pVWUHojB","HllvX50cXC0",,,,"tRM_CSB_Depistage_PEC","cPCIME_NC_PN_AMOX","Nombre nouveaux cas (cf tab 6) Pneumonie correctement traités Amoxicilline","ToV2hqPjApV","Tableau 6",
"VIH nombre des clients depistes VIH par age","t2b850YAUOY","zHmpwMQOfXw",,,,"tRM_CSB_Depistage_PEC_ISTVIH","cIST_CLIDEP_INF15a","Nb de clients ayant été dépistés <15 ans","ToV2hqPjApV","Tableau 7",
"VIH nombre des clients depistes VIH par age","t2b850YAUOY","SW6oUfrCXJf",,,,"tRM_CSB_Depistage_PEC_ISTVIH","cIST_CLIDEP_1524a","Nb de clients ayant été dépistés 15-24 ans","ToV2hqPjApV","Tableau 7",
"VIH nombre des clients depistes VIH par age","t2b850YAUOY","fAg8tca9zBe",,,,"tRM_CSB_Depistage_PEC_ISTVIH","cIST_CLIDEP_2549a","Nb de clients ayant été dépistés 25-49 ans","ToV2hqPjApV","Tableau 7",
"VIH nombre des clients depistes VIH par age","t2b850YAUOY","voZw9xjfGCI",,,,"tRM_CSB_Depistage_PEC_ISTVIH","cIST_CLIDEP_5099a","Nb de clients ayant été dépistés 50 ans et +","ToV2hqPjApV","Tableau 7",
"VIH nombre des clients depistes VIH par sexe","ZTGyOtHcjsJ","Dth2gBj2kEF",,,,"tRM_CSB_Depistage_PEC_ISTVIH","cIST_CLIDEP_SEX_M","Nb de clients ayant été dépistés MSM","ToV2hqPjApV","Tableau 7",
"VIH nombre des clients depistes VIH par sexe","ZTGyOtHcjsJ","sw2ZKOSUaAr",,,,"tRM_CSB_Depistage_PEC_ISTVIH","cIST_CLIDEP_SEX_F","Nb de clients ayant été dépistés FE","ToV2hqPjApV","Tableau 7",
"VIH nombre des clients depistes VIH par groupe a resque","ZhNTIMiBQwo","H5mdiVUSnHh",,,,"tRM_CSB_Depistage_PEC_ISTVIH","cIST_CLIDEP_GAR_TDS","Nb de clients ayant été dépistés TDS","ToV2hqPjApV","Tableau 7",
"VIH nombre des clients depistes VIH par groupe a resque","ZhNTIMiBQwo","R57o8tE7qzj",,,,"tRM_CSB_Depistage_PEC_ISTVIH","cIST_CLIDEP_GAR_PIST","Nb de clients ayant été dépistés Patient IST","ToV2hqPjApV","Tableau 7",
"VIH nombre des clients depistes VIH par groupe a resque","ZhNTIMiBQwo","CY3DclCwaj6",,,,"tRM_CSB_Depistage_PEC_ISTVIH","cIST_CLIDEP_GAR_MSM","Nb de clients ayant été dépistés MSM","ToV2hqPjApV","Tableau 7",
"VIH nombre des clients depistes VIH par groupe a resque","ZhNTIMiBQwo","ibnyBHtae6x",,,,"tRM_CSB_Depistage_PEC_ISTVIH","cIST_CLIDEP_GAR_TDI","Nb de clients ayant été dépistés TDI","ToV2hqPjApV","Tableau 7",
"VIH nombre des clients depistes VIH par groupe a resque","ZhNTIMiBQwo","WRlDiTbkE9A",,,,"tRM_CSB_Depistage_PEC_ISTVIH","cIST_CLIDEP_GAR_DET","Nb de clients ayant été dépistés Détenus","ToV2hqPjApV","Tableau 7",
"VIH nombre des clients depistes VIH par groupe a resque","ZhNTIMiBQwo","y3uvnibi4CO",,,,"tRM_CSB_Depistage_PEC_ISTVIH","cIST_CLIDEP_GAR_AUT","Nb de clients ayant été dépistés Autres","ToV2hqPjApV","Tableau 7",
