"CODE_GESIS","NOM_DANS_GESIS","UID_DHIS2","NOM_DANS_DHIS2","DISTRICT","REGION",,,
210351033,"CSB 1 Ampasindava","Xxs1OqiHNGz","CSB1 Ampasindava","Ambanja","DIANA",,,
210351030,"CSB 1 Beangona","nmlkjqWx1TT","CSB1 Beangona","Ambanja","DIANA",,,
210351025,"CSB 1 Marotony","iCgixYaGkMw","CSB1 Marotony","Ambanja","DIANA",,,
210341028,"CSB 2 Maherivaratra","gPldpa1yTih","CSB2 Maherivaratra","Ambanja","DIANA",,,
210341029,"CSB 2 Marotolana","UiaJ1yZd8qc","CSB2 Marotolana","Ambanja","DIANA",,,
210341031,"CSB 2 Marovato","IxWKWMfXE0u","CSB2 Marovato","Ambanja","DIANA",,,
210341032,"CSB 2 Nosy Faly","jsSGzxr6vZ3","CSB2 Nosy Faly","Ambanja","DIANA",,,
210351020,"CSB1 Ambodifinesy","D0gr6NHleWJ","CSB1 Ambodifinesy","Ambanja","DIANA",,,
210351019,"CSB1 Ambodisakoana","pXLRd53sEqv","CSB1 Ambodisakoana","Ambanja","DIANA",,,
210351003,"CSB1 Antsahampano","C3X5z75glRw","CSB1 Antsahampano","Ambanja","DIANA",,,
210351014,"CSB1 Bezavona","x6Sybm8nbcO","CSB1 Bezavona","Ambanja","DIANA",,,
210341027,"CSB1 Maevatanana","t5k7KDD9VVU","CSB2 Maevatanana","Ambanja","DIANA",,,
210351023,"CSB1 Mahatera","b7KxhPW5lEd","CSB1 Mahatera","Ambanja","DIANA",,,
210351016,"CSB1 Marosely","DLFgLcSf4bC","CSB1 Marosely","Ambanja","DIANA",,,
210351008,"CSB1 Migioko","lrCftg6xCl0","CSB1 MIGIOKO","Ambanja","DIANA",,,
210341004,"CSB2 Ambalahonko","q41fzg3VOu8","CSB2 Ambalahonko","Ambanja","DIANA",,,
210341005,"CSB2 Ambaliha","kl5wysaHP1q","CSB2 Ambaliha","Ambanja","DIANA",,,
210341001,"CSB2 Ambanja","wbsVLCwHeJZ","CSB2 Ambanja","Ambanja","DIANA",,,
210341006,"CSB2 Ambodimanga Ramena","rV1nGsrtj0L","CSB2 Ambodimanga Ramena","Ambanja","DIANA",,,
210341007,"CSB2 Ambohimarina","QdhpDccjJp7","CSB2 Ambohimarina","Ambanja","DIANA",,,
210341009,"CSB2 Ambohimena","YsdwVo7dqmH","CSB2 Ambohimena","Ambanja","DIANA",,,
210341010,"CSB2 Ambohitrandriana","juqgNsn3LFP","CSB2 Ambohitrandriana","Ambanja","DIANA",,,
210341011,"CSB2 Ankatafa","YYoevSWHRNv","CSB2 Ankatafa","Ambanja","DIANA",,,
210341012,"CSB2 Ankingameloka","WLgLphZYrwO","CSB2 Ankingameloka","Ambanja","DIANA",,,
210341013,"CSB2 Anorontsangana","VjXG6Qosad1","CSB2 Anorontsangana","Ambanja","DIANA",,,
210341015,"CSB2 Antranonkarany","fQ0DQjiHlKu","CSB2 Antranokarany","Ambanja","DIANA",,,
210341034,"CSB2 Antsahabe Centre","XFyxbtvstUq","CSB2 Antsahabe Centre","Ambanja","DIANA",,,
210341017,"CSB2 Antsakoamanondro","WnX9EJ3ytMj","CSB2 Antsakoamanondro","Ambanja","DIANA",,,
210341018,"CSB2 Antsatsaka","b1UxUu2X6po","CSB2 Antsatsaka","Ambanja","DIANA",,,
210341021,"CSB2 Antsirabe","NhrTTijBthF","CSB2 Antsirabe","Ambanja","DIANA",,,
210341022,"CSB2 Bemaneviky Haut Sambirano","Pg6mv09hjEF","CSB2 Bemaneviky Haute Sambirano","Ambanja","DIANA",,,
210341024,"CSB2 Bemaneviky Ouest","M0tDcuyBv1N","CSB2 Bemaneviky Ouest","Ambanja","DIANA",,,
210341026,"CSB2 Djangoa","IbI8hBmhy1d","CSB2 Djangoa","Ambanja","DIANA",,,
210343002,"CSB2 SMIA","tDHNNZPWdoI","FSP_ SMIA Ambanja","Ambanja","DIANA",,,
210441001,"CSB2 Ambilobe","tvAmn2ilfSQ","CSB2 Ambilobe DU","Ambilobe","DIANA",,,
210451034,"CSB 1 Bemena","I6O0jlvGuDD","CSB1 Bemena","Ambilobe","DIANA",,,
