"CODE_GESIS","NOM_DANS_GESIS","UID_DHIS2"
110141002,"CSB2 CSMI Tsaralalàna","qjqgIImELn2"
110142066,"CSB2 AMCM Mangasoavina","KG6x8gjc5pq"
110142111,"CSB2 FJKM Analamahitsy","Yp0HaHgoQA3"
110143033,"CSB2 CMPTEL(poste)","yCWnLq9RpBP"
110143046,"CSB2 Vision Santé Ambohipo","ZTTQffnyQ5p"
110243042,"CSB2 CMSN Anosimasina","GY5TYA6X4MI"
110243068,"CSB2  CML Nathan Bemasoandro","x4qQ7deqIKl"
110342007,"CSB2 OSTIE PAPMAD","FqKwirWVvFm"
110342008,"CSB2 JIRAMA Ambohimanambola","jFWPGiipJ3T"
110342010,"CSB2 CML Dr Vero","KlphBSSqgHO"
110342016,"CSB2 Akamasoa","r3iPbbbFVEg"
110342018,"CSB2 CML Dr Robinson","q38dWw9F2MA"
110342019,"CSB2 CMLRolland","rhE0c1kJidJ"
110342020,"CSB2 CML Soamiandalana","i6B21L3UlGD"
110342022,"CSB2 Riantsoa","OF13djczrk0"
110342024,"CSB2 OSTIE Anjeva Gare","L4UIzjNS0Kd"
110342029,"CSB2 OSTIE Ilafy","FZCI0I2eNYx"
110342030,"CSB2 CML Dr Vololona","oCLiIxqpPxt"
110342042,"CSB2 Ambohinaorina","AxJvWl4brbu"
110342046,"CSB2 CML Dr Ely","HZ7n2TPfS8c"
110342047,"CSB2 CML Dr Gilbert","U40tm9MaIoQ"
110342048,"CSB2 Antsofinondry BlueStar","yOa5cqorlW6"
110342049,"CSB2 Top Réseau Dr Lalatiana","ZNdZkKgL75r"
110342057,"CSB2 CML Dr Raboanary","ExDJpcKuExq"
110342062,"Cabinet médical Andriniaina","FsVUhngIHtG"
110343009,"CSB2 Foyer de vie","AbFDGSpsbGA"
110343013,"CSB2  Ekar Alasora","J2eiFcElPLA"
110343014,"CSB2 FJKM  Isalama","EKC3joomCIw"
110343015,"CSB2 Soamanandrariny","aIVNISv9ZhY"
110343026,"CSB2 FJKM Ambohitrarahaba","IJBbD85lrp8"
110343027,"CSB2 FJKM FIB Ankadikely","cbAv1aG7N0v"
110343036,"CSB2 Centre de Santé Lovasoa","Lb7Nu0HHphG"
110343039,"CSB2 Soafanomezana","GjTD8Y6Yot5"
110343043,"CSB2 ABC Sabotsy Namehana","D8wZZNjikHH"
110343044,"CSB2 EKAR Namehana","g1E6YBIWCuR"
110343045,"CSB2 OrthodoxeAlasora","t93iWqG2LzA"
110343058,"CSB2 Access","QOSwuvVmPZE"
110343059,"CSB2 CSF Antsapandrano","hiuCKSyVZSc"
110343060,"CSB.2 Ekar Antsofinondry Padre Pio","qcMkmKid0m0"
110343061,"CSB2 A.A.S.A.","vUJCZe3tgMl"
110343063,"CSB2 CML Loterana Belanitra","jvD0SenqpVR"
110353017,"CSB1 Saint Ignace de Loyola","ywlnigsGF3c"
110442032,"CSB2 Dispensaire TPLA Antehiroka","XtZS10L90bX"
110551029,"CSB1 Ambohimarina","YF8mMKiXrsr"
110642036,"CMC Andavabary","bklxP7fc9D0"
120141044,"CSB2 Maroharona","jhRBd25YJ0t"
120143014,"CSB2 CML Dr Armand","Dd4JwSBf2mL"
120143053,"CMC Ambararata Est","wknFRjwXR0x"
130243024,"CSB2 Centre Médical ANJARASOA","wY5TaK41mw4"
130342008,"CML AMPARY","ln7XUY0S8pE"
140142019,"CSB2 Loterana Andranomadio","JxLj9Q2Fm7i"
140142028,"CSB2 SADIFI Antanivao","GavUaxRjGf3"
140143007,"CSB2 Accord Knits","txuuNwuKAaJ"
140143010,"CSB2 Cabinet ZLS","fry68T56Fjc"
140143013,"CSB2 Espace Médical","GXfFPFGpFzl"
140143014,"CSB2 FISA","kfnPPo23UX3"
140143029,"CSB2 Maternité Ave Maria","daybfcaUo6z"
140143034,"CSB2 CML Théos","NSxyt3yCNvx"
140152026,"CSB1 Belle Vue","RqzgYzD3VJ5"
140242040,"CSB2 Santé Sud Androakavato","MHG504mP3Ok"
140243040,"CSB2 Santé Sud Androkavato","MHG504mP3Ok"
140342003,"CSB2 FJKM Isalama","EKC3joomCIw"
140441401,"CSB2 Soamanandrariny","Sw0Dx5lezON"
140442928,"Blue Star Antanifotsy","S20xAcKvTfL"
140451310,"CSB1 Anjamanga","qK8N25IlSKX"
210442020,"CSB2 SIRAMA","wXUC2psYm2Z"
210451005,"CSB1 Antanabe","DLqu0Edypfp"
210451017,"CSB1 Ambatoarana","PEynES6VYyv"
220141016,"CSB2 Andrembona","PUdklCUBgRr"
220151026,"CSB1 Antsahapolisy","HQK1qdD36nb"
220341011,"CSB2 Tanambao CSMI","SSGJEBcG8Op"
220342018,"CSB2 Isalama","jhbLBKMYAoV"
310142031,"CSB2 FJKM Salama  Antarandolo","PPj7qIEi9og"
310143018,"CSB2 OSIEF Fianarantsoa","EZ9FjZgaoAx"
310143019,"CSB2 JIRAMA Fianarantsoa","cpl8eYamOlX"
310143037,"CSB2 CML Mamy Talatamaty","fjxpPwpTPTl"
310242042,"CSB2 EKAR Jean Paul II","bCrRVtdW69M"
310342030,"CSB2 EKAR MIARINARIVO","Pfv8Z2qcLkO"
330141019,"CSB2 CSMI Farafangana","Dlz3p8E98fj"
330341003,"CSB2 Bevaho","d5PrUkBURqm"
330451050,"CSB1 Ambalavato","jqecqcAAEWV"
340141023,"CSB2 Sahambo","gVgm857dxDL"
340351005,"CSB1 Ranomena","t5zSYkNyyen"
350153032,"CSB1 FESN","TUyTk17J0Ba"
350153055,"CSB1 RNCFM/FCE","LkD4xhL4xBZ"
350341018,"CSB2 Manapatrana","Qpy0E2Zci4L"
350451019,"CSB2 Mahatsara Iefaka","A38WhL0NPsX"
350451045,"CSB1 Ambohimahasoa","NaHyGHPvH7A"
350452045,"CSB1 EKAR Ambohitsara Est","Qy7TBEcefE9"
350552017,"CSB1 EKAR Nosy Varika","kztyvGPnWR7"
402151023,"CSB1 Merimandroso","C4jmEurKKq2"
410252013,"CSB1 Maromiandra","FLDwHfaQPDt"
410651011,"CSB1 Antsakoamileka","ymMS7CfiGzN"
420153024,"AMBALABONGO","YegzSe09axR"
420341007,"CSB2 Andriamena","n4eZelXL8Ec"
430341003,"CSB2 Bekopaka","bBtdRxFUODU"
430341004,"CSB2 Bekopaka","bBtdRxFUODU"
430341005,"CSB2 Masoarivo","NfTcHCEwk8T"
430341006,"CSB2 Masoarivo","NfTcHCEwk8T"
430351007,"CSB1 Ambalakazaha","naW8NwTF6iT"
430351014,"CSB1 Ambalakazaha","naW8NwTF6iT"
430442009,"CSB2 Adventiste Besalampy","VO9nhe1F6W7"
430442013,"CSB2 Tody Soa","o9ahnc7JjPK"
430442014,"CSB2 GALILEE","AwSPeSlYnhP"
440151027,"CSB1 Antananambo","H4XN1xz7P7W"
440342031,"CSB1 Antanambola","HlMKPzFfbz1"
440441026,"CSB1 Matsondakana","AJwML4bNpIo"
440451026,"CSB1 Matsondakana","AJwML4bNpIo"
440541010,"CSB1 Antsakoabe","xWIEcSCmwUF"
440551024,"CSB1 Andibavontsona","QxMf9Q2KYxI"
510141005,"CSB2 Dispensaire Tanambao","MJLpD3K4Gd0"
510741022,"CSB2 VOHITRANIVONA","ScKpNnbwMsk"
510741031,"CSB2 Razanaka","TIEi7Dvw6EX"
510743033,"CSB2 SIRAMA","UZ1BbCKCJd6"
520541017,"CSB2 Ampasimpotsy Gare","IrultocCkbk"
610341005,"CSB2 Androka","y9ZxASD5ari"
610343028,"CSB2 Etroboke","GXhrxkRj1Pe"
620141023,"CSB1 SOS VILLAGE D'ENFANTS","qtLQRbxhXga"
620141025,"Analamary","bMNSr19waCV"
620241007,"CSB2 Ankaranabo Nord","HemvvnFMdl2"
620241016,"CSB2 Bekily Centrale","I3twG4eMSbK"
